,Year built,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Lot,Half bathrooms,Type_Condo,Type_Multi Family,Type_Multiple Occupancy,Type_Single Family,Type_Townhouse,Cooling_None,Cooling_Other,Cooling_Refrigeration,"Cooling_Refrigerator, Central",Cooling_Wall,City
376,,224995.0,150.0,224995.0,2.0,2.0,2.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
377,2003.0,225000.0,281.0,225000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
378,1969.0,439000.0,337.0,439000.0,3.0,2.0,1.0,1427.0,1,0,0,0,0,1,0,0,0,0,0,Chicago
379,1925.0,274900.0,257.0,274900.0,3.0,2.0,1.0,4125.0,1,0,0,0,1,0,1,0,0,0,0,Chicago
380,,3300000.0,660.0,3300000.0,5.0,7.0,6.0,7840.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
381,,185000.0,206.0,185000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
382,1942.0,449000.0,113.0,449000.0,5.0,2.0,2.0,4660.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
383,1924.0,299900.0,,299900.0,1.0,1.0,1.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
384,1912.0,750000.0,147.0,750000.0,4.0,4.0,3.0,9191.0,1,0,0,0,1,0,0,0,0,0,0,Chicago
385,1921.0,289000.0,241.0,289000.0,3.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
386,,284995.0,190.0,284995.0,3.0,2.0,2.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
387,2007.0,535000.0,382.0,535000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
388,,274995.0,183.0,274995.0,3.0,2.0,2.0,,0,1,0,0,0,0,1,0,0,0,0,Chicago
389,1974.0,230000.0,184.0,230000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
390,2019.0,1025000.0,513.0,1025000.0,3.0,3.0,2.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
391,1927.0,359900.0,228.0,359900.0,3.0,3.0,1.0,4704.0,2,0,0,0,1,0,1,0,0,0,0,Chicago
392,1875.0,425000.0,184.0,425000.0,4.0,2.0,2.0,,0,0,1,0,0,0,1,0,0,0,0,Chicago
393,1921.0,234900.0,303.0,234900.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
394,1972.0,229000.0,269.0,229000.0,1.0,1.0,1.0,,0,1,0,0,0,0,0,1,0,0,0,Chicago
395,2020.0,3000000.0,3000000.0,3000000.0,5.0,6.0,5.0,,1,1,0,0,0,0,0,0,0,0,0,Chicago
396,1950.0,379900.0,171.0,379900.0,3.0,3.0,3.0,4251.0,0,0,0,0,1,0,0,0,0,0,0,Chicago
397,2000.0,475000.0,352.0,475000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
398,2003.0,485000.0,373.0,485000.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0,Chicago
