,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Address,URL,Lot
299,Condo,2020,"Forced air, Electric",Central,1 space,$145/mo,$554,"$349,000", 1, 1, 1,,1701-E-Martin-Luther-King-Jr-Blvd-210-Austin-TX-78702,https://www.zillow.com/homedetails/1701-E-Martin-Luther-King-Jr-Blvd-210-Austin-TX-78702/2077705193_zpid/,
300,Condo,No Data,No Data,Central,3 spaces,,"$1,400","$4,441,000", 2, 3, 3,,https:,https://www.zillow.com/community/austonian/2082200748_zpid/,
301,Single Family,1955,Other,Central,"Carport, Detached Garage",,$298,"$650,000", 0,,,,6507-Goodnight-Ln-Austin-TX-78757,https://www.zillow.com/homedetails/6507-Goodnight-Ln-Austin-TX-78757/29414678_zpid/,0.3 acres
302,Condo,1982,Electric,No Data,4 spaces,$137/month,$217,"$199,000", 2, 2, 2,,7101-Treasure-Cv-9-Austin-TX-78745,https://www.zillow.com/homedetails/7101-Treasure-Cv-9-Austin-TX-78745/58315361_zpid/,
303,Condo,1982,"Heat pump, Electric",Central,4 spaces,$137/mo,$209,"$191,000", 2, 2, 2,,7101-Treasure-Cv-10-Austin-TX-78745,https://www.zillow.com/homedetails/7101-Treasure-Cv-10-Austin-TX-78745/58315360_zpid/,
304,Single Family,2020,No Data,No Data,2 spaces,,$118,"$273,990", 4, 3, 3,,https:,https://www.zillow.com/community/austin-s-colony/2080039892_zpid/,No Data
305,Condo,2020,"Forced air, Electric",Central,2 spaces,$271/mo,$373,"$871,295", 3, 3, 2, 1,4202-Elevator-Dr-Austin-TX-78731,https://www.zillow.com/homedetails/4202-Elevator-Dr-Austin-TX-78731/2077706850_zpid/,
306,Single Family,No Data,No Data,No Data,2 spaces,,$219,"$385,170", 3, 3, 2, 1,1108-Winifred-Dr-Austin-TX-78748,https://www.zillow.com/homedetails/1108-Winifred-Dr-Austin-TX-78748/2077706978_zpid/,No Data
307,Single Family,1999,"Other, Gas",Central,2 spaces,,$198,"$331,900", 4, 3, 2, 1,1625-Gaylord-Dr-Austin-TX-78728,https://www.zillow.com/homedetails/1625-Gaylord-Dr-Austin-TX-78728/29447991_zpid/,"5,174 sqft"
308,Single Family,2020,No Data,No Data,2 spaces,,$205,"$523,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/avana-alviso-50-homesites/2080064431_zpid/,No Data
309,Condo,1981,Other,Central,2 spaces,$262/month,$408,"$514,500", 2, 3, 2, 1,1500-W-Lynn-St-APT-103-Austin-TX-78703,https://www.zillow.com/homedetails/1500-W-Lynn-St-APT-103-Austin-TX-78703/2143900906_zpid/,
