,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Address,URL,Lot
393,Condo,2015,Forced air,Central,4 spaces,$142/month,$232,"$400,000", 3, 3, 2, 1,5909-Swayden-Ln-Austin-TX-78745,https://www.zillow.com/homedetails/5909-Swayden-Ln-Austin-TX-78745/125091633_zpid/,
394,Single Family,No Data,No Data,No Data,2 spaces,,$151,"$294,990", 4, 3, 2, 1,https:,https://www.zillow.com/community/bradshaw-crossing-ridgepointe-and-cottage-collection/2078639644_zpid/,No Data
395,Condo,2018,"Forced air, Electric, Gas",Central,2 spaces,$235/mo,$268,"$399,000", 2, 3, 2, 1,2025-Sharper-Mews-Ln-Austin-TX-78741,https://www.zillow.com/homedetails/2025-Sharper-Mews-Ln-Austin-TX-78741/2077727205_zpid/,
396,Single Family,2020,No Data,No Data,3 spaces,,$202,"$590,990", 4, 3, 3,,https:,https://www.zillow.com/community/highpointe-90ft-lots/2080078189_zpid/,No Data
397,Single Family,2003,"Forced air, Electric, Gas",Central,2 spaces,,$252,"$665,000", 3, 3, 2, 1,612-Twelve-Oaks-Ln-Austin-TX-78704,https://www.zillow.com/homedetails/612-Twelve-Oaks-Ln-Austin-TX-78704/64623901_zpid/,"4,530 sqft"
398,Single Family,1984,"Forced air, Electric, Gas",Central,6 spaces,,$320,"$850,000", 3, 3, 2, 1,4456-Stony-Meadow-Ln-Austin-TX-78731,https://www.zillow.com/homedetails/4456-Stony-Meadow-Ln-Austin-TX-78731/29353168_zpid/,"6,011 sqft"
399,Townhouse,2017,Forced air,Central,2 spaces,$198/month,$324,"$619,000", 3, 3, 2, 1,2210-Robert-Browning-St-Austin-TX-78723,https://www.zillow.com/homedetails/2210-Robert-Browning-St-Austin-TX-78723/145654074_zpid/,"2,047 sqft"
400,Condo,2006,"Forced air, Electric, Gas",Central,2 spaces,$523/mo,$468,"$469,000", 1, 1, 1,,210-Lee-Barton-Dr-UNIT-615-Austin-TX-78704,https://www.zillow.com/homedetails/210-Lee-Barton-Dr-UNIT-615-Austin-TX-78704/80107231_zpid/,
401,Single Family,2020,No Data,No Data,2 spaces,,$141,"$252,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/park-at-51-east-affordable/2077851317_zpid/,No Data
402,Multiple Occupancy,2002,"Other, Electric",Central,No Data,,$132,"$285,000", 0, 0,,,8303-Riverstone-Dr-Austin-TX-78724,https://www.zillow.com/homedetails/8303-Riverstone-Dr-Austin-TX-78724/58301190_zpid/,
403,Single Family,2009,Forced air,Central,6 spaces,$80/month,$266,"$715,000", 4, 3, 2, 1,12209-Montclair-Bnd-Austin-TX-78732,https://www.zillow.com/homedetails/12209-Montclair-Bnd-Austin-TX-78732/83831581_zpid/,"8,215 sqft"
404,Single Family,1953,Wall,Wall,2 spaces,None,$464,"$339,900", 2, 1, 1,,1107-1-2-Fiesta-St-1-Austin-TX-78702,https://www.zillow.com/homedetails/1107-1-2-Fiesta-St-1-Austin-TX-78702/2077730837_zpid/,No Data
405,Single Family,No Data,No Data,No Data,2 spaces,,$150,"$369,990", 4, 3, 2, 1,https:,https://www.zillow.com/community/parker-station/2084660166_zpid/,No Data
406,Single Family,2015,"Forced air, Electric, Gas",Central,2 spaces,,$369,"$700,000", 3, 3, 2, 1,3704-Cima-Serena-Dr-2-Austin-TX-78759,https://www.zillow.com/homedetails/3704-Cima-Serena-Dr-2-Austin-TX-78759/2103753398_zpid/,"5,009 sqft"
407,Single Family,2016,Forced air,Central,4 spaces,$38/month,$205,"$399,000", 3, 3, 2, 1,3708-Kennedy-Grace-Ln-Austin-TX-78728,https://www.zillow.com/homedetails/3708-Kennedy-Grace-Ln-Austin-TX-78728/241931236_zpid/,"5,445 sqft"
408,Condo,No Data,No Data,No Data,No Data,No Data,$537,"$499,000", 2, 3, 2, 1,2602-Francisco-St-2-Austin-TX-78702,https://www.zillow.com/homedetails/2602-Francisco-St-2-Austin-TX-78702/2077731474_zpid/,
409,Single Family,No Data,No Data,No Data,2 spaces,,$199,"$593,990", 4, 3, 3,,https:,https://www.zillow.com/community/retreat-at-steiner-ranch/2080252911_zpid/,No Data
410,Single Family,1987,Forced air,Central,5 spaces,$62/month,$332,"$1,850,000", 5, 6, 6,,8408-Hickory-Creek-Dr-Austin-TX-78735,https://www.zillow.com/homedetails/8408-Hickory-Creek-Dr-Austin-TX-78735/29331269_zpid/,0.89 acres
411,Single Family,1963,Forced air,Central,2 spaces,None,$561,"$715,000", 3, 2, 2,,2516-Friar-Tuck-Ln-Austin-TX-78704,https://www.zillow.com/homedetails/2516-Friar-Tuck-Ln-Austin-TX-78704/29476260_zpid/,"8,407 sqft"
412,Single Family,1997,"Other, Electric, Gas",Central,4 spaces,,$205,"$419,900", 3, 2, 2,,8804-Barrow-Glen-Loop-Austin-TX-78749,https://www.zillow.com/homedetails/8804-Barrow-Glen-Loop-Austin-TX-78749/29499478_zpid/,"8,058 sqft"
413,Single Family,1979,"Forced air, Electric, Gas",Central,2 spaces,,$165,"$419,900", 3, 4, 3, 1,10713-Pinehurst-Dr-Austin-TX-78747,https://www.zillow.com/homedetails/10713-Pinehurst-Dr-Austin-TX-78747/29515894_zpid/,0.27 Acres
414,Single Family,1962,Other,Central,2 spaces,None,$280,"$360,000", 3, 2, 2,,2021-Northridge-Dr-Austin-TX-78723,https://www.zillow.com/homedetails/2021-Northridge-Dr-Austin-TX-78723/29404040_zpid/,"9,191 sqft"
415,Single Family,1999,Forced air,Central,4 spaces,$58/month,$202,"$514,900", 3, 3, 2, 1,8925-Colberg-Dr-Austin-TX-78749,https://www.zillow.com/homedetails/8925-Colberg-Dr-Austin-TX-78749/29487495_zpid/,"6,316 sqft"
416,Condo,2018,"Forced air, Electric, Gas",Central,2 spaces,,$361,"$499,500", 3, 3, 2, 1,4414-Merle-Dr-UNIT-1-Austin-TX-78745,https://www.zillow.com/homedetails/4414-Merle-Dr-UNIT-1-Austin-TX-78745/305433896_zpid/,
417,Single Family,2004,"Forced air, Electric, Gas",Central,4 spaces,,$462,"$1,749,900", 5, 5, 4, 1,7511-Stepdown-Cv-Austin-TX-78731,https://www.zillow.com/homedetails/7511-Stepdown-Cv-Austin-TX-78731/29356607_zpid/,0.45 Acres
418,Condo,2007,"Forced air, Electric",Central,2 spaces,$419/mo,$430,"$525,000", 2, 2, 2,,1812-West-Ave-SUITE-506-Austin-TX-78701,https://www.zillow.com/homedetails/1812-West-Ave-SUITE-506-Austin-TX-78701/83822195_zpid/,
419,Single Family,1998,"Forced air, Electric, Gas",Central,2 spaces,,$224,"$350,000", 3, 3, 2, 1,9507-Dalewood-Dr-Austin-TX-78729,https://www.zillow.com/homedetails/9507-Dalewood-Dr-Austin-TX-78729/29578409_zpid/,"6,301 sqft"
420,Single Family,2017,Forced air,Central,2 spaces,$198/month,$351,"$575,000", 2, 3, 2, 1,4724-Vaughan-St-Austin-TX-78723,https://www.zillow.com/homedetails/4724-Vaughan-St-Austin-TX-78723/145653268_zpid/,"2,178 sqft"
421,Townhouse,2009,"Electric, Gas",Central,2 spaces,$266/month,$400,"$724,800", 3, 3, 2, 1,2204-Thornton-Rd-2-Austin-TX-78704,https://www.zillow.com/homedetails/2204-Thornton-Rd-2-Austin-TX-78704/2137312950_zpid/,"5,445 sqft"
422,Condo,2020,Forced air,Central,1 space,"$2,105/month","$1,265","$2,975,000", 3, 3, 3,,1211-W-Riverside-Dr-7A-Austin-TX-78704,https://www.zillow.com/homedetails/1211-W-Riverside-Dr-7A-Austin-TX-78704/2077734075_zpid/,
423,Condo,2014,"Forced air, Electric",Central,2 spaces,$175/mo,$267,"$500,000", 2, 3, 2, 1,2709-E-13th-St-APT-D-Austin-TX-78702,https://www.zillow.com/homedetails/2709-E-13th-St-APT-D-Austin-TX-78702/124839859_zpid/,
424,Single Family,1971,"Forced air, Electric, Gas",Central,4 spaces,,$198,"$450,000", 4, 3, 3,,11903-Conann-Ct-Austin-TX-78753,https://www.zillow.com/homedetails/11903-Conann-Ct-Austin-TX-78753/58304520_zpid/,"9,104 sqft"
425,Condo,2006,Forced air,Central,2 spaces,$701/month,$438,"$599,900", 2, 2, 2,,210-Lee-Barton-Dr-UNIT-213-Austin-TX-78704,https://www.zillow.com/homedetails/210-Lee-Barton-Dr-UNIT-213-Austin-TX-78704/80090950_zpid/,
426,Condo,2020,Forced air,Central,2 spaces,No Data,$338,"$378,800", 2, 2, 2,,https:,https://www.zillow.com/community/little-ford-south-congress/2078793002_zpid/,
427,Single Family,2020,No Data,No Data,2 spaces,,$164,"$344,990", 4, 3, 2, 1,https:,https://www.zillow.com/community/pioneer-hill/2085272575_zpid/,No Data
428,Single Family,2020,No Data,No Data,3 spaces,,$143,"$571,990", 4, 4, 3, 1,https:,https://www.zillow.com/community/parten-75s/2079456685_zpid/,No Data
429,Multiple Occupancy,1938,"None, Other",Central,2 spaces,,$278,"$515,000", 4, 2, 2,,1305-E-28th-St-Austin-TX-78722,https://www.zillow.com/homedetails/1305-E-28th-St-Austin-TX-78722/29394439_zpid/,
430,Single Family,No Data,No Data,No Data,2 spaces,,$124,"$299,995", 3, 3, 2, 1,https:,https://www.zillow.com/community/sundance-crossing/2079836000_zpid/,No Data
431,Condo,2005,Forced air,Central,2 spaces,$998/month,$509,"$995,000", 2, 3, 2, 1,54-Rainey-St-APT-1118-Austin-TX-78701,https://www.zillow.com/homedetails/54-Rainey-St-APT-1118-Austin-TX-78701/70353433_zpid/,
432,Single Family,2006,"Forced air, Electric",Central,8 spaces,,$564,"$2,950,000", 5, 5, 4, 1,2006-Indian-Trl-Austin-TX-78703,https://www.zillow.com/homedetails/2006-Indian-Trl-Austin-TX-78703/29335081_zpid/,0.32 Acres
433,Townhouse,2020,No Data,No Data,1 space,,$161,"$217,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/stoney-ridge/2078948274_zpid/,No Data
434,Single Family,No Data,No Data,No Data,2 spaces,,$240,"$463,990", 4, 3, 3,,https:,https://www.zillow.com/community/51-east/2081115915_zpid/,No Data
435,Single Family,2002,"Forced air, Electric, Gas",Central,2 spaces,,$233,"$475,000", 3, 3, 2, 1,5117-Bluestar-Dr-Austin-TX-78739,https://www.zillow.com/homedetails/5117-Bluestar-Dr-Austin-TX-78739/58315692_zpid/,"5,488 sqft"
436,Single Family,2020,No Data,No Data,2 spaces,,$248,"$387,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/presidio-station-courtyard-homes/2079474944_zpid/,No Data
437,Townhouse,2020,No Data,No Data,2 spaces,,$299,"$735,000", 3, 4, 3, 1,https:,https://www.zillow.com/community/grove/2079117328_zpid/,No Data
438,Single Family,No Data,No Data,No Data,2 spaces,,$168,"$367,400", 4, 3, 2, 1,https:,https://www.zillow.com/community/easton-park/2081906058_zpid/,No Data
439,Condo,2020,"Forced air, Electric",Central,2 spaces,$268/mo,$395,"$1,103,089", 3, 4, 3, 1,4703-Unity-Cir-Austin-TX-78731,https://www.zillow.com/homedetails/4703-Unity-Cir-Austin-TX-78731/2077739967_zpid/,
440,Single Family,2020,Forced air,Central,2 spaces,$330/month,$355,"$756,000", 4, 4, 3, 1,5107-Manchaca-Rd-7-Austin-TX-78745,https://www.zillow.com/homedetails/5107-Manchaca-Rd-7-Austin-TX-78745/2077740005_zpid/,"3,484 sqft"
441,Single Family,2020,Forced air,Central,2 spaces,$330/month,$370,"$684,000", 3, 3, 2, 1,5107-Manchaca-Rd-3-Austin-TX-78745,https://www.zillow.com/homedetails/5107-Manchaca-Rd-3-Austin-TX-78745/2077740010_zpid/,"3,049 sqft"
442,Single Family,2020,No Data,No Data,2 spaces,,$195,"$567,990", 4, 4, 3, 1,https:,https://www.zillow.com/community/avana-alviso-50-homesites/2080064433_zpid/,No Data
443,Single Family,2020,No Data,No Data,2 spaces,,$146,"$331,990", 4, 3, 2, 1,https:,https://www.zillow.com/community/vistas-of-austin/2079142256_zpid/,No Data
444,Single Family,2020,No Data,No Data,2 spaces,,$245,"$452,990", 4, 3, 3,,https:,https://www.zillow.com/community/retreat-at-steiner-ranch/2080252907_zpid/,No Data
445,Single Family,2020,"Forced air, Electric, Gas",Central,2 spaces,,$501,"$1,395,000", 4, 4, 3, 1,2003-Payne-Ave-Austin-TX-78757,https://www.zillow.com/homedetails/2003-Payne-Ave-Austin-TX-78757/29416108_zpid/,"7,078 sqft"
446,Single Family,2007,Forced air,Central,1 space,$217/month,$296,"$389,990", 2, 2, 2,,1601-Miriam-Ave-UNIT-109-Austin-TX-78702,https://www.zillow.com/homedetails/1601-Miriam-Ave-UNIT-109-Austin-TX-78702/83125205_zpid/,"2,787 sqft"
447,Condo,2007,"Forced air, Electric",Central,2 spaces,$447/mo,$440,"$519,000", 2, 2, 2,,1812-West-Ave-SUITE-407-Austin-TX-78701,https://www.zillow.com/homedetails/1812-West-Ave-SUITE-407-Austin-TX-78701/83825739_zpid/,
448,Single Family,2020,No Data,No Data,2 spaces,,$165,"$415,995", 3, 3, 2, 1,https:,https://www.zillow.com/community/willow-trace/2079835984_zpid/,No Data
449,Condo,1981,"Forced air, Electric",Central,2 spaces,$403/mo,$324,"$305,000", 2, 3, 2, 1,2215-Post-Rd-APT-1039-Austin-TX-78704,https://www.zillow.com/homedetails/2215-Post-Rd-APT-1039-Austin-TX-78704/29460179_zpid/,
450,Single Family,2008,"Forced air, Electric, Gas",Central,2 spaces,,$563,"$1,850,000", 4, 5, 4, 1,608-W-Mary-St-Austin-TX-78704,https://www.zillow.com/homedetails/608-W-Mary-St-Austin-TX-78704/29472743_zpid/,"7,884 sqft"
451,Single Family,2019,"Forced air, Electric, Gas",Central,4 spaces,,$243,"$400,000", 3, 2, 2,,3307-Brillen-Stone-Ln-Austin-TX-78728,https://www.zillow.com/homedetails/3307-Brillen-Stone-Ln-Austin-TX-78728/2077751017_zpid/,"7,840 sqft"
452,Condo,2018,"Electric, Gas",Central,2 spaces,$678/mo,$663,"$1,490,000", 3, 3, 2, 1,1010-W-10th-St-105-Austin-TX-78703,https://www.zillow.com/homedetails/1010-W-10th-St-105-Austin-TX-78703/241933758_zpid/,
453,Single Family,1935,"Forced air, Electric, Gas",Central,6 spaces,,$676,"$2,595,000", 5, 4, 4,,1304-Northwood-Rd-Austin-TX-78703,https://www.zillow.com/homedetails/1304-Northwood-Rd-Austin-TX-78703/29397813_zpid/,0.27 Acres
454,Single Family,1985,"Forced air, Electric, Gas",Central,2 spaces,,$189,"$470,000", 4, 3, 2, 1,13116-Kellies-Farm-Ln-Austin-TX-78727,https://www.zillow.com/homedetails/13116-Kellies-Farm-Ln-Austin-TX-78727/29444944_zpid/,0.28 Acres
455,Condo,1981,Forced air,Central,2 spaces,$381/month,$312,"$290,000", 2, 2, 2,,2215-Post-Rd-APT-1088-Austin-TX-78704,https://www.zillow.com/homedetails/2215-Post-Rd-APT-1088-Austin-TX-78704/29460224_zpid/,
456,Single Family,No Data,No Data,No Data,3 spaces,,$155,"$532,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/parten-75s/2079456686_zpid/,No Data
457,Single Family,1938,"Forced air, Electric, Gas",Central,1 space,,$386,"$399,000", 2, 2, 2,,602-Brentwood-St-UNIT-A-Austin-TX-78752,https://www.zillow.com/homedetails/602-Brentwood-St-UNIT-A-Austin-TX-78752/2077754276_zpid/,"9,234 sqft"
458,Single Family,2020,No Data,No Data,2 spaces,,$266,"$449,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/51-east/2081115905_zpid/,No Data
459,Single Family,1986,Forced air,Central,3 spaces,None,$696,"$4,650,000", 6, 7, 5, 2,2314-Island-Wood-Rd-Austin-TX-78733,https://www.zillow.com/homedetails/2314-Island-Wood-Rd-Austin-TX-78733/29344928_zpid/,1.76 acres
460,Condo,2018,Forced air,Central,2 spaces,$636/mo,$907,"$990,000", 1, 2, 1, 1,501-West-Ave-1105-Austin-TX-78701,https://www.zillow.com/homedetails/501-West-Ave-1105-Austin-TX-78701/306644634_zpid/,
461,Townhouse,No Data,No Data,No Data,2 spaces,,$193,"$244,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/stoney-ridge/2078948256_zpid/,No Data
462,Condo,1985,"Forced air, Electric",Central,1 space,$270/mo,$300,"$270,000", 2, 2, 2,,3204-Manchaca-Rd-APT-116-Austin-TX-78704,https://www.zillow.com/homedetails/3204-Manchaca-Rd-APT-116-Austin-TX-78704/83817134_zpid/,
463,Single Family,No Data,No Data,No Data,3 spaces,,$177,"$592,990", 4, 3, 3,,https:,https://www.zillow.com/community/highpointe-80ft-lots/2082357196_zpid/,No Data
464,Single Family,No Data,No Data,No Data,3 spaces,,$212,"$550,990", 4, 3, 3,,https:,https://www.zillow.com/community/parten/2079036311_zpid/,No Data
465,Single Family,2020,No Data,No Data,2 spaces,,$223,"$303,990", 3, 2, 2,,https:,https://www.zillow.com/community/pioneer-hill/2082857175_zpid/,No Data
466,Single Family,2020,No Data,No Data,2 spaces,,$156,"$319,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/easton-park/2080028664_zpid/,No Data
467,Single Family,2020,No Data,No Data,2 spaces,,$376,"$1,230,000", 3, 4, 3, 1,https:,https://www.zillow.com/community/grove/2079117329_zpid/,No Data
468,Single Family,2020,No Data,No Data,2 spaces,,$209,"$535,990", 4, 3, 2, 1,https:,https://www.zillow.com/community/avana-alviso-50-homesites/2080064432_zpid/,No Data
469,Single Family,2007,Forced air,Central,2 spaces,$56/month,$329,"$750,000", 4, 3, 2, 1,1932-Mccloskey-St-Austin-TX-78723,https://www.zillow.com/homedetails/1932-Mccloskey-St-Austin-TX-78723/80098147_zpid/,"3,310 sqft"
470,Single Family,2020,No Data,No Data,2 spaces,,$204,"$425,400", 3, 2, 2,,https:,https://www.zillow.com/community/easton-park/2081906060_zpid/,No Data
471,Single Family,No Data,No Data,No Data,3 spaces,,$193,"$625,990", 4, 3, 3,,https:,https://www.zillow.com/community/highpointe-90ft-lots/2080078192_zpid/,No Data
472,Single Family,2020,"Forced air, Electric",Central,2 spaces,,$361,"$675,000", 2, 3, 2, 1,1407-2-Greenwood-Ave-Austin-TX-78721,https://www.zillow.com/homedetails/1407-2-Greenwood-Ave-Austin-TX-78721/2077758785_zpid/,0.27 Acres
473,Single Family,1977,Forced air,Central,2 spaces,None,$256,"$404,290", 3, 2, 2,,6208-Cannes-Cir-Austin-TX-78745,https://www.zillow.com/homedetails/6208-Cannes-Cir-Austin-TX-78745/58314629_zpid/,"7,405 sqft"
474,Single Family,1953,"Electric, Gas",No Data,1 space,None,$302,"$715,000", 3, 2, 2,,3109-Walnut-Ave-1-Austin-TX-78722,https://www.zillow.com/homedetails/3109-Walnut-Ave-1-Austin-TX-78722/2077758992_zpid/,"6,534 sqft"
475,Condo,2020,"Forced air, Electric, Gas",Central,2 spaces,$150/mo,$389,"$700,000", 3, 3, 2, 1,1518-Parker-Ln-A-Austin-TX-78741,https://www.zillow.com/homedetails/1518-Parker-Ln-A-Austin-TX-78741/2077760546_zpid/,
476,Single Family,2020,No Data,No Data,2 spaces,,$230,"$412,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/park-at-51-east/2079152439_zpid/,No Data
477,Single Family,1955,Forced air,Central,2 spaces,None,$237,"$380,000", 4, 2, 2,,1423-Berene-Ave-Austin-TX-78721,https://www.zillow.com/homedetails/1423-Berene-Ave-Austin-TX-78721/29391354_zpid/,"7,056 sqft"
478,Single Family,2020,No Data,No Data,2 spaces,,$195,"$568,990", 4, 4, 3, 1,https:,https://www.zillow.com/community/retreat-at-steiner-ranch/2080252910_zpid/,No Data
479,Condo,2002,"Forced air, Electric",Central,1 space,$290/mo,$191,"$227,500", 3, 2, 2,,2320-Gracy-Farms-Ln-APT-1321-Austin-TX-78758,https://www.zillow.com/homedetails/2320-Gracy-Farms-Ln-APT-1321-Austin-TX-78758/80087289_zpid/,
480,Single Family,2020,No Data,No Data,2 spaces,,$192,"$388,990", 4, 3, 3,,https:,https://www.zillow.com/community/malone/2084958880_zpid/,No Data
481,Condo,1993,Forced air,Central,1 space,$293/month,$348,"$345,000", 2, 2, 2,,1741-Spyglass-Dr-APT-200-Austin-TX-78746,https://www.zillow.com/homedetails/1741-Spyglass-Dr-APT-200-Austin-TX-78746/2088945578_zpid/,
482,Single Family,1990,Forced air,Central,4 spaces,None,$197,"$432,500", 3, 3, 2, 1,6104-La-Naranja-Ln-Austin-TX-78749,https://www.zillow.com/homedetails/6104-La-Naranja-Ln-Austin-TX-78749/29487108_zpid/,"5,619 sqft"
483,Single Family,1950,"Forced air, Electric, Gas",Central,No Data,,$915,"$900,000", 2, 1, 1,,1104-Toyath-St-Austin-TX-78703,https://www.zillow.com/homedetails/1104-Toyath-St-Austin-TX-78703/29329924_zpid/,"6,229 sqft"
484,Single Family,2001,Forced air,Central,4 spaces,$41/month,$131,"$325,000", 3, 3, 2, 1,11425-Glen-Falloch-Ct-Austin-TX-78754,https://www.zillow.com/homedetails/11425-Glen-Falloch-Ct-Austin-TX-78754/29421918_zpid/,"10,236 sqft"
485,Condo,2020,Forced air,Central,2 spaces,$390/month,$335,"$589,000", 2, 2, 2,,1322-E-12th-St-302-Austin-TX-78702,https://www.zillow.com/homedetails/1322-E-12th-St-302-Austin-TX-78702/2085300984_zpid/,
486,Condo,2016,Forced air,Central,2 spaces,$180/month,$355,"$659,000", 2, 3, 2, 1,404-W-Alpine-Rd-16-Austin-TX-78704,https://www.zillow.com/homedetails/404-W-Alpine-Rd-16-Austin-TX-78704/145657139_zpid/,
487,Single Family,1952,"Forced air, Electric, Gas",Central,2 spaces,,$527,"$1,495,000", 4, 3, 3,,3414-Spanish-Oak-Dr-Austin-TX-78731,https://www.zillow.com/homedetails/3414-Spanish-Oak-Dr-Austin-TX-78731/29343177_zpid/,0.34 Acres
488,Single Family,No Data,No Data,No Data,2 spaces,,$151,"$284,995", 4, 2, 2,,https:,https://www.zillow.com/community/sundance-crossing/2079835988_zpid/,No Data
489,Townhouse,2020,No Data,No Data,2 spaces,,$143,"$264,990", 4, 2, 2,,https:,https://www.zillow.com/community/stoney-ridge/2078948261_zpid/,No Data
490,Single Family,2020,No Data,No Data,No Data,,$55,"$85,995", 4, 2, 2,,https:,https://www.zillow.com/community/branch-creek/2080807493_zpid/,No Data
491,Single Family,No Data,No Data,No Data,2 spaces,,$161,"$311,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/easton-park/2080028665_zpid/,No Data
492,Single Family,2020,No Data,No Data,2 spaces,,$150,"$253,990", 4, 2, 2,,https:,https://www.zillow.com/community/austin-s-colony/2082989993_zpid/,No Data
493,Single Family,1999,Forced air,Central,4 spaces,None,$346,"$398,999", 3, 2, 2,,5103-Lott-Ave-Austin-TX-78721,https://www.zillow.com/homedetails/5103-Lott-Ave-Austin-TX-78721/29388861_zpid/,"10,410 sqft"
494,Single Family,No Data,No Data,No Data,2 spaces,,$171,"$321,990", 3, 3, 2, 1,https:,https://www.zillow.com/community/vistas-of-austin/2079142257_zpid/,No Data
495,Single Family,No Data,No Data,No Data,2 spaces,,$218,"$275,990", 3, 2, 2,,https:,https://www.zillow.com/community/colorado-crossing-cottage-collection/2083968477_zpid/,No Data
496,Single Family,2020,No Data,No Data,3 spaces,,$230,"$598,990", 4, 3, 3,,https:,https://www.zillow.com/community/highpointe-90ft-lots/2080078184_zpid/,No Data
497,Single Family,1972,Forced air,Central,2 spaces,None,$245,"$400,000", 3, 2, 2,,10109-Aspen-St-Austin-TX-78758,https://www.zillow.com/homedetails/10109-Aspen-St-Austin-TX-78758/29431508_zpid/,"10,345 sqft"
498,Single Family,2020,No Data,No Data,2 spaces,,$173,"$442,400", 3, 2, 2,,https:,https://www.zillow.com/community/easton-park/2081906063_zpid/,No Data
499,Single Family,2020,No Data,No Data,2 spaces,,$232,"$381,995", 3, 2, 2,,https:,https://www.zillow.com/community/willow-trace/2079835981_zpid/,No Data
500,Condo,1984,Forced air,Central,2 spaces,$250/month,$191,"$202,000", 2, 3, 2, 1,1827-River-Crossing-Cir-APT-C-Austin-TX-78741,https://www.zillow.com/homedetails/1827-River-Crossing-Cir-APT-C-Austin-TX-78741/62607227_zpid/,
501,Single Family,No Data,No Data,No Data,2 spaces,,$218,"$318,990", 3, 2, 2,,https:,https://www.zillow.com/community/parker-station/2084660172_zpid/,No Data
502,Single Family,1972,Forced air,Central,4 spaces,None,$228,"$446,990", 3, 2, 2,,1400-S-Salem-Meadow-Cir-Austin-TX-78745,https://www.zillow.com/homedetails/1400-S-Salem-Meadow-Cir-Austin-TX-78745/2077774077_zpid/,0.59 acres
503,Single Family,2020,No Data,No Data,2 spaces,,$241,"$449,990", 3, 3, 3,,https:,https://www.zillow.com/community/retreat-at-steiner-ranch/2080252905_zpid/,No Data
504,Single Family,2020,No Data,No Data,2 spaces,,$129,"$288,995", 3, 3, 2, 1,https:,https://www.zillow.com/community/sundance-crossing/2079835995_zpid/,No Data
505,Single Family,No Data,No Data,No Data,2 spaces,,$190,"$379,990", 4, 3, 2, 1,https:,https://www.zillow.com/community/malone/2084958885_zpid/,No Data
506,Single Family,No Data,No Data,No Data,2 spaces,,$217,"$274,590", 3, 2, 2,,10725-Hammond-St-Austin-TX-78747,https://www.zillow.com/homedetails/10725-Hammond-St-Austin-TX-78747/2077780287_zpid/,No Data
507,Single Family,2020,Forced air,Central,1 space,$144/month,$381,"$269,000", 1, 1, 1,,4802-S-Congress-Ave-315-Austin-TX-78745,https://www.zillow.com/homedetails/4802-S-Congress-Ave-315-Austin-TX-78745/2077779997_zpid/,No Data
508,Condo,2015,"Forced air, Electric",Central,2 spaces,$56/mo,$337,"$420,000", 3, 3, 2, 1,900-Banister-Ln-G-Austin-TX-78704,https://www.zillow.com/homedetails/900-Banister-Ln-G-Austin-TX-78704/145655743_zpid/,
509,Single Family,1940,Forced air,Central,3 spaces,None,$573,"$1,975,000", 4, 4, 3, 1,1313-Kent-Ln-Austin-TX-78703,https://www.zillow.com/homedetails/1313-Kent-Ln-Austin-TX-78703/29331654_zpid/,0.41 acres
510,Condo,2008,Forced air,Central,3 spaces,"$3,005/month","$1,221","$3,975,000", 3, 3, 3,,200-Congress-Ave-46LX-Austin-TX-78701,https://www.zillow.com/homedetails/200-Congress-Ave-46LX-Austin-TX-78701/306644294_zpid/,
511,Single Family,1996,Forced air,Central,2 spaces,$245/month,$349,"$649,900", 3, 2, 2,,3920-Myrick-Dr-Austin-TX-78731,https://www.zillow.com/homedetails/3920-Myrick-Dr-Austin-TX-78731/29355544_zpid/,"5,227 sqft"
512,Single Family,2020,Heat pump,Central,1 space,,$427,"$469,990", 2, 2, 2,,4511-S-3rd-St-2-Austin-TX-78745,https://www.zillow.com/homedetails/4511-S-3rd-St-2-Austin-TX-78745/2077781982_zpid/,"8,494 sqft"
513,Single Family,No Data,No Data,No Data,2 spaces,,$194,"$328,990", 4, 2, 2,,https:,https://www.zillow.com/community/pioneer-hill/2082934362_zpid/,No Data
514,Single Family,2020,No Data,No Data,3 spaces,,$125,"$603,990", 4, 5, 4, 1,https:,https://www.zillow.com/community/parten-85s/2079456690_zpid/,No Data
515,Single Family,2020,No Data,No Data,No Data,,$55,"$85,995", 4, 2, 2,,https:,https://www.zillow.com/community/branch-creek/2081629340_zpid/,No Data
516,Single Family,No Data,No Data,No Data,2 spaces,,$161,"$243,990", 3, 2, 2,,https:,https://www.zillow.com/community/austin-s-colony/2082989996_zpid/,No Data
517,Single Family,No Data,No Data,No Data,2 spaces,,$154,"$453,900", 3, 3, 2, 1,https:,https://www.zillow.com/community/easton-park/2081906071_zpid/,No Data
518,Single Family,No Data,No Data,No Data,2 spaces,,$198,"$284,990", 3, 2, 2,,https:,https://www.zillow.com/community/colorado-crossing-cottage-collection/2083968478_zpid/,No Data
