,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,Lot,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
296,Single Family,2007,"Forced air, Gas",Central,2 spaces,,$346,"$675,000", 4, 3, 2,7154-N-Moody-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/7154-N-Moody-Ave-Chicago-IL-60646/3553123_zpid/,"4,925 sqft", 1,,,,
297,Condo,1926,Gas,Central,1 space,$375/mo,$281,"$270,000", 2, 1, 1,3963-W-Belmont-Ave-UNIT-422-Chicago-IL-60618,https://www.zillow.com/homedetails/3963-W-Belmont-Ave-UNIT-422-Chicago-IL-60618/113959414_zpid/,,,,,,
298,Condo,2013,Forced air,Central,1 space,$205/month,$283,"$849,900", 4, 3, 3,2751-N-Kenmore-Ave-1-Chicago-IL-60614,https://www.zillow.com/homedetails/2751-N-Kenmore-Ave-1-Chicago-IL-60614/2105595198_zpid/,,,,,,
299,Condo,1975,Electric,Central,3 spaces,"$5,099/month",$614,"$3,485,000", 3, 3, 2,180-E-Pearson-St-5801-06-Chicago-IL-60611,https://www.zillow.com/homedetails/180-E-Pearson-St-5801-06-Chicago-IL-60611/2077658426_zpid/,, 1,,,,
300,Condo,2001,"Forced air, Gas",Central,1 space,$430/mo,$319,"$255,000", 1, 1, 1,345-N-La-Salle-Dr-APT-510-Chicago-IL-60654,https://www.zillow.com/homedetails/345-N-La-Salle-Dr-APT-510-Chicago-IL-60654/63701183_zpid/,,,,,,
301,Condo,2007,Forced air,Central,1 space,$499/month,$458,"$440,000", 1, 2, 1,450-E-Waterside-Dr-UNIT-2101-Chicago-IL-60601,https://www.zillow.com/homedetails/450-E-Waterside-Dr-UNIT-2101-Chicago-IL-60601/89962114_zpid/,, 1,,,,
302,Condo,2001,"Forced air, Gas",Central,1 space,$491/mo,$415,"$299,000", 1, 1, 1,600-N-Dearborn-St-APT-1210-Chicago-IL-60654,https://www.zillow.com/homedetails/600-N-Dearborn-St-APT-1210-Chicago-IL-60654/63700351_zpid/,,,,,,
303,Condo,1920,Gas,Central,No Data,$270/mo,$167,"$159,000", 2, 1, 1,3102-W-Belle-Plaine-Ave-G-Chicago-IL-60618,https://www.zillow.com/homedetails/3102-W-Belle-Plaine-Ave-G-Chicago-IL-60618/2078016559_zpid/,,,,,,
304,Multi Family,1895,Forced air,Central,None,,$415,"$789,000", 5, 3, 3,3648-N-Wayne-Ave-Chicago-IL-60613,https://www.zillow.com/homedetails/3648-N-Wayne-Ave-Chicago-IL-60613/2087846356_zpid/,,,,,,
305,Condo,1915,Forced air,Central,1 space,$210/month,$242,"$145,000", 1, 1, 1,1331-W-North-Shore-Ave-APT-3S-Chicago-IL-60626,https://www.zillow.com/homedetails/1331-W-North-Shore-Ave-APT-3S-Chicago-IL-60626/87699324_zpid/,,,,,,
306,Condo,1908,Electric,Central,1 space,$564/mo,$276,"$579,000", 3, 3, 2,1058-W-Armitage-Ave-A-Chicago-IL-60614,https://www.zillow.com/homedetails/1058-W-Armitage-Ave-A-Chicago-IL-60614/2077659158_zpid/,, 1,,,,
307,Condo,2002,Forced air,Central,1 space,$518/month,$371,"$445,000", 2, 2, 2,111-S-Morgan-St-APT-308-Chicago-IL-60607,https://www.zillow.com/homedetails/111-S-Morgan-St-APT-308-Chicago-IL-60607/65571392_zpid/,,,,,,
308,Condo,1973,Forced air,Central,2 spaces,"$1,476/month",$477,"$739,000", 3, 2, 2,200-E-Delaware-Pl-APT-17F-Chicago-IL-60611,https://www.zillow.com/homedetails/200-E-Delaware-Pl-APT-17F-Chicago-IL-60611/3849282_zpid/,,,,,,
309,Single Family,1951,Forced air,Central,3 spaces,None,$185,"$184,900", 3, 1, 1,Chicago-IL-60652,https://www.zillow.com/homedetails/Chicago-IL-60652/2077659324_zpid/,"6,072 sqft",,,,,
310,Single Family,1960,"Forced air, Gas",Central,2 spaces,,$183,"$284,000", 4, 2, 2,4947-W-Bloomingdale-Ave-Chicago-IL-60639,https://www.zillow.com/homedetails/4947-W-Bloomingdale-Ave-Chicago-IL-60639/3685387_zpid/,"3,136 sqft",,,,,
311,Townhouse,1945,Gas,Central,2 spaces,,$107,"$99,900", 2, 1, 1,9612-S-Euclid-Ave-Chicago-IL-60617,https://www.zillow.com/homedetails/9612-S-Euclid-Ave-Chicago-IL-60617/4135775_zpid/,"3,427 sqft",,,,,
312,Single Family,1900,Gas,No Data,2 spaces,,$87,"$125,000", 3, 1, 1,2103-N-Long-Ave-Chicago-IL-60639,https://www.zillow.com/homedetails/2103-N-Long-Ave-Chicago-IL-60639/3684395_zpid/,"3,149 sqft",,,,,
313,Condo,1969,"Radiant, Electric",Wall,1 space,"$2,305/mo",$390,"$835,000", 3, 3, 2,1110-N-Lake-Shore-Dr-APT-19N-Chicago-IL-60611,https://www.zillow.com/homedetails/1110-N-Lake-Shore-Dr-APT-19N-Chicago-IL-60611/3846441_zpid/,, 1,,,,
314,Townhouse,1997,"Electric, Gas",Central,2 spaces,,$333,"$500,000", 2, 3, 3,855-W-Erie-St-APT-116-Chicago-IL-60642,https://www.zillow.com/homedetails/855-W-Erie-St-APT-116-Chicago-IL-60642/2125705882_zpid/,No Data,,,,,
315,Single Family,2008,"Forced air, Gas",Central,2 spaces,,$225,"$1,600,000", 8, 6, 5,6852-N-Tonty-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/6852-N-Tonty-Ave-Chicago-IL-60646/3552996_zpid/,"9,510 sqft", 1,,,,
316,Townhouse,1979,"Forced air, Gas",Central,1 space,,,"$665,000", 3, 3, 2,1906-N-Mohawk-St-23-Chicago-IL-60614,https://www.zillow.com/homedetails/1906-N-Mohawk-St-23-Chicago-IL-60614/3740190_zpid/,0.73 Acres, 1,,,,
317,Single Family,2007,Forced air,Central,2 spaces,,$322,"$1,999,999", 6, 6, 5,1460-W-Byron-St-Chicago-IL-60613,https://www.zillow.com/homedetails/1460-W-Byron-St-Chicago-IL-60613/87718585_zpid/,"3,750 sqft", 1,,,,
318,Single Family,2007,"Forced air, Gas",Central,2 spaces,,$322,"$1,999,999", 6, 6, 5,1460-W-Byron-St-Chicago-IL-60613,https://www.zillow.com/homedetails/1460-W-Byron-St-Chicago-IL-60613/87718585_zpid/,"3,750 sqft", 1,,,,
319,Single Family,1880,"Forced air, Gas",Central,No Data,,$491,"$1,400,000", 4, 5, 4,1720-N-Sedgwick-St-Chicago-IL-60614,https://www.zillow.com/homedetails/1720-N-Sedgwick-St-Chicago-IL-60614/2141869717_zpid/,"1,655 sqft", 1,,,,
320,Multi Family,No Data,Forced air,Central,2 spaces,,No Data,"$199,900", 6, 2, 2,7112-S-Greenwood-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/7112-S-Greenwood-Ave-Chicago-IL-60619/2077659687_zpid/,,,,,,
321,Single Family,1951,Forced air,Central,2 spaces,None,$254,"$249,900", 4, 2, 2,6055-S-Melvina-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/6055-S-Melvina-Ave-Chicago-IL-60638/3942492_zpid/,"3,750 sqft",,,,,
322,Single Family,1954,"Forced air, Gas",Central,3 spaces,,$241,"$489,900", 3, 2, 2,5858-S-Natchez-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/5858-S-Natchez-Ave-Chicago-IL-60638/3945612_zpid/,"4,852 sqft",,,,,
323,Single Family,1966,Forced air,Central,2 spaces,None,$82,"$135,000", 4, 2, 2,1741-E-91st-Pl-Chicago-IL-60617,https://www.zillow.com/homedetails/1741-E-91st-Pl-Chicago-IL-60617/4112391_zpid/,"5,000 sqft",,,,,
324,Multiple Occupancy,1914,"Forced air, Gas",Central,2 spaces,,,"$644,500", 8, 5, 5,5030-W-Hutchinson-St-Chicago-IL-60641,https://www.zillow.com/homedetails/5030-W-Hutchinson-St-Chicago-IL-60641/2146987904_zpid/,,,,,,
325,Condo,1914,Gas,No Data,1 space,$300/mo,$196,"$275,000", 2, 1, 1,6435-N-Newgard-Ave-1-N-Chicago-IL-60626,https://www.zillow.com/homedetails/6435-N-Newgard-Ave-1-N-Chicago-IL-60626/2077659871_zpid/,,,,,,
326,Condo,1955,Forced air,Central,2 spaces,$391/month,$411,"$265,000", 0, 1, 1,900-N-Lake-Shore-Dr-APT-811-Chicago-IL-60611,https://www.zillow.com/homedetails/900-N-Lake-Shore-Dr-APT-811-Chicago-IL-60611/3849447_zpid/,,,,,,
327,Single Family,2007,"Forced air, Gas",Central,4 spaces,,$476,"$2,950,000", 6, 6, 5,1464-W-Byron-St-Chicago-IL-60613,https://www.zillow.com/homedetails/1464-W-Byron-St-Chicago-IL-60613/3710859_zpid/,"3,750 sqft", 1,,,,
328,Condo,1955,Forced air,Central,1 space,$667/month,$315,"$264,500", 1, 1, 1,910-N-Lake-Shore-Dr-APT-2016-Chicago-IL-60610,https://www.zillow.com/homedetails/910-N-Lake-Shore-Dr-APT-2016-Chicago-IL-60610/2077660302_zpid/,,,,,,
329,Single Family,1974,Gas,Central,2 spaces,,$316,"$379,000", 3, 1, 1,3615-S-Wallace-St-Chicago-IL-60609,https://www.zillow.com/homedetails/3615-S-Wallace-St-Chicago-IL-60609/3881931_zpid/,"3,123 sqft",,,,,
330,Condo,1969,Baseboard,Central,1 space,$361/month,$342,"$205,000", 0, 1, 1,2800-N-Lake-Shore-Dr-APT-1709-Chicago-IL-60657,https://www.zillow.com/homedetails/2800-N-Lake-Shore-Dr-APT-1709-Chicago-IL-60657/3723529_zpid/,,,,,,
331,Condo,1973,No Data,No Data,No Data,$550/mo,,"$289,900", 1, 1, 1,71-E-Division-St-APT-1102-Chicago-IL-60610,https://www.zillow.com/homedetails/71-E-Division-St-APT-1102-Chicago-IL-60610/3846232_zpid/,,,,,,
332,Single Family,2018,Forced air,Central,2 spaces,None,$240,"$649,000", 4, 4, 3,3350-N-Kilbourn-Ave-Chicago-IL-60641,https://www.zillow.com/homedetails/3350-N-Kilbourn-Ave-Chicago-IL-60641/306332407_zpid/,"3,199 sqft", 1,,,,
333,Condo,2007,"Forced air, Gas",Central,1 space,"$1,302/mo",$605,"$1,120,000", 2, 2, 2,600-N-Fairbanks-Ct-UNIT-3510-Chicago-IL-60611,https://www.zillow.com/homedetails/600-N-Fairbanks-Ct-UNIT-3510-Chicago-IL-60611/89887943_zpid/,,,,,,
334,Condo,1972,Electric,No Data,1 space,$803/month,$275,"$330,000", 2, 2, 1,1221-N-Dearborn-St-PENTHOUSE-P9N-Chicago-IL-60610,https://www.zillow.com/homedetails/1221-N-Dearborn-St-PENTHOUSE-P9N-Chicago-IL-60610/2077660538_zpid/,, 1,,,,
335,Single Family,2006,Forced air,Central,2 spaces,None,$163,"$489,000", 5, 4, 3,3124-N-Olcott-Ave-Chicago-IL-60707,https://www.zillow.com/homedetails/3124-N-Olcott-Ave-Chicago-IL-60707/3601352_zpid/,"4,430 sqft", 1,,,,
336,Condo,1963,Forced air,Central,2 spaces,$658/month,$429,"$365,000", 1, 1, 1,400-E-Randolph-St-APT-2528-Chicago-IL-60601,https://www.zillow.com/homedetails/400-E-Randolph-St-APT-2528-Chicago-IL-60601/3869556_zpid/,,,,,,
337,Condo,1895,Gas,Central,1 space,$449/mo,$331,"$290,000", 1, 1, 1,625-W-Jackson-Blvd-APT-309-Chicago-IL-60661,https://www.zillow.com/homedetails/625-W-Jackson-Blvd-APT-309-Chicago-IL-60661/61960988_zpid/,,,,,,
338,Multiple Occupancy,1900,Other,No Data,2 spaces,,,"$749,000", 6, 3, 3,2946-N-Rockwell-St-Chicago-IL-60618,https://www.zillow.com/homedetails/2946-N-Rockwell-St-Chicago-IL-60618/2077660605_zpid/,,,,,,
339,Multi Family,1920,Gas,Central,2 spaces,,No Data,"$1,150,000", 6, 5, 3,2141-W-Crystal-St-Chicago-IL-60622,https://www.zillow.com/homedetails/2141-W-Crystal-St-Chicago-IL-60622/2099654380_zpid/,, 2,,,,
340,Single Family,1921,Forced air,Central,2 spaces,None,$179,"$279,000", 4, 3, 3,7735-S-Michigan-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/7735-S-Michigan-Ave-Chicago-IL-60619/4005727_zpid/,"5,366 sqft",,,,,
341,Condo,2003,"Forced air, Gas",Central,1 space,$418/mo,$245,"$475,000", 3, 3, 3,2940-N-Spaulding-Ave-APT-1N-Chicago-IL-60618,https://www.zillow.com/homedetails/2940-N-Spaulding-Ave-APT-1N-Chicago-IL-60618/70458835_zpid/,,,,,,
342,Condo,1918,Gas,Central,1 space,$255/mo,$297,"$315,000", 2, 2, 2,820-W-Sunnyside-Ave-APT-3B-Chicago-IL-60640,https://www.zillow.com/homedetails/820-W-Sunnyside-Ave-APT-3B-Chicago-IL-60640/70451050_zpid/,,,,,,
343,Condo,1911,"Forced air, Gas",Central,1 space,"$2,422/mo",$443,"$1,799,888", 3, 3, 2,910-S-Michigan-Ave-APT-1905-Chicago-IL-60605,https://www.zillow.com/homedetails/910-S-Michigan-Ave-APT-1905-Chicago-IL-60605/70472156_zpid/,, 1,,,,
344,Single Family,1956,Gas,Central,5 spaces,,$308,"$309,000", 3, 1, 1,5832-S-Newcastle-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/5832-S-Newcastle-Ave-Chicago-IL-60638/3944672_zpid/,"4,748 sqft",,,,,
345,Multiple Occupancy,1908,"Forced air, Gas",Central,2 spaces,,$585,"$585,000", 7, 3, 3,4126-N-Drake-Ave-Chicago-IL-60618,https://www.zillow.com/homedetails/4126-N-Drake-Ave-Chicago-IL-60618/2125272056_zpid/,,,,,,
346,Condo,No Data,Gas,Central,1 space,$175/mo,$150,"$164,900", 2, 2, 2,538-E-44th-St-APT-G-Chicago-IL-60653,https://www.zillow.com/homedetails/538-E-44th-St-APT-G-Chicago-IL-60653/113961275_zpid/,,,,,,
347,Condo,2007,"Forced air, Gas",Central,1 space,$98/mo,$388,"$659,000", 4, 3,,2424-N-Southport-Ave-APT-D-Chicago-IL-60614,https://www.zillow.com/homedetails/2424-N-Southport-Ave-APT-D-Chicago-IL-60614/89962465_zpid/,,,,,,
348,Condo,1974,Electric,No Data,1 space,$454/month,$241,"$192,900", 1, 1, 1,1221-N-Dearborn-St-APT-401N-Chicago-IL-60610,https://www.zillow.com/homedetails/1221-N-Dearborn-St-APT-401N-Chicago-IL-60610/3858133_zpid/,,,,,,
349,Multi Family,1891,Forced air,Central,6 spaces,,$146,"$389,000", 6, 3, 3,1702-N-Kedvale-Ave-Chicago-IL-60639,https://www.zillow.com/homedetails/1702-N-Kedvale-Ave-Chicago-IL-60639/2125883453_zpid/,,,,,,
350,Condo,1924,No Data,No Data,No Data,$890/mo,$236,"$425,000", 3, 2, 2,6342-N-Sheridan-Rd-1F-Chicago-IL-60660,https://www.zillow.com/homedetails/6342-N-Sheridan-Rd-1F-Chicago-IL-60660/2077661811_zpid/,,,,,,
351,Condo,2007,"Forced air, Gas",Central,2 spaces,$291/mo,$199,"$329,000", 3, 2, 2,5420-N-Kedzie-Ave-APT-3E-Chicago-IL-60625,https://www.zillow.com/homedetails/5420-N-Kedzie-Ave-APT-3E-Chicago-IL-60625/80811288_zpid/,,,,,,
352,Condo,1940,Forced air,Central,None,$315/month,$178,"$159,900", 2, 1, 1,4208-W-Leland-Ave-2-Chicago-IL-60630,https://www.zillow.com/homedetails/4208-W-Leland-Ave-2-Chicago-IL-60630/61959299_zpid/,,,,,,
353,Condo,1974,Baseboard,No Data,1 space,$304/month,$170,"$169,900", 2, 1, 1,6800-W-Raven-St-UNIT-405-Chicago-IL-60631,https://www.zillow.com/homedetails/6800-W-Raven-St-UNIT-405-Chicago-IL-60631/3627483_zpid/,,,,,,
354,Condo,2020,Forced air,Central,1 space,$299/month,No Data,"$1,049,000", 4, 3, 2,916-W-Barry-Ave-1-Chicago-IL-60657,https://www.zillow.com/homedetails/916-W-Barry-Ave-1-Chicago-IL-60657/2077662134_zpid/,, 1,,,,
355,Condo,1910,No Data,No Data,1 space,$509/month,$250,"$299,900", 2, 1, 1,2952-N-Clark-St-APT-2-Chicago-IL-60657,https://www.zillow.com/homedetails/2952-N-Clark-St-APT-2-Chicago-IL-60657/3720469_zpid/,,,,,,
356,Multiple Occupancy,1972,"Forced air, Gas",No Data,2 spaces,,$51,"$55,000", 5, 2, 2,1042-W-Marquette-Rd-Chicago-IL-60621,https://www.zillow.com/homedetails/1042-W-Marquette-Rd-Chicago-IL-60621/3997590_zpid/,,,,,,
357,Condo,1899,Radiant,Other,1 space,$498/month,$299,"$299,000", 2, 1, 1,745-W-Wellington-Ave-APT-3-Chicago-IL-60657,https://www.zillow.com/homedetails/745-W-Wellington-Ave-APT-3-Chicago-IL-60657/3720449_zpid/,,,,,,
358,Condo,1899,Radiant,Other,1 space,$498/mo,$299,"$299,000", 2, 1, 1,745-W-Wellington-Ave-APT-3-Chicago-IL-60657,https://www.zillow.com/homedetails/745-W-Wellington-Ave-APT-3-Chicago-IL-60657/3720449_zpid/,,,,,,
359,Condo,2001,Forced air,Central,1 space,$354/month,$347,"$625,000", 3, 2, 2,3204-N-Paulina-St-4N-Chicago-IL-60657,https://www.zillow.com/homedetails/3204-N-Paulina-St-4N-Chicago-IL-60657/62009709_zpid/,,,,,,
360,Single Family,1890,"Forced air, Gas",Central,2 spaces,,$275,"$549,900", 3, 2, 1,1942-S-Desplaines-St-Chicago-IL-60616,https://www.zillow.com/homedetails/1942-S-Desplaines-St-Chicago-IL-60616/3876148_zpid/,"2,940 sqft", 1,,,,
361,Condo,1969,No Data,Central,2 spaces,$797/mo,$131,"$249,000", 3, 2, 2,6833-N-Kedzie-Ave-APT-601-Chicago-IL-60645,https://www.zillow.com/homedetails/6833-N-Kedzie-Ave-APT-601-Chicago-IL-60645/3560828_zpid/,,,,,,
362,Multiple Occupancy,1910,"Forced air, Gas",Central,4 spaces,,,"$1,250,000", 10, 6, 6,3636-N-Racine-Ave-Chicago-IL-60613,https://www.zillow.com/homedetails/3636-N-Racine-Ave-Chicago-IL-60613/2101850286_zpid/,,,,,,
363,Condo,2009,Forced air,Central,1 space,$370/mo,$352,"$375,000", 2, 2, 2,235-W-Van-Buren-St-UNIT-3907-Chicago-IL-60607,https://www.zillow.com/homedetails/235-W-Van-Buren-St-UNIT-3907-Chicago-IL-60607/2094320469_zpid/,,,,,,
364,Condo,1910,"Forced air, Gas",Central,No Data,$242/mo,,"$295,000", 2, 2, 2,3302-W-Dickens-Ave-APT-2-Chicago-IL-60647,https://www.zillow.com/homedetails/3302-W-Dickens-Ave-APT-2-Chicago-IL-60647/80810348_zpid/,,,,,,
365,Condo,1900,Gas,Central,1 space,$300/mo,$328,"$450,000", 3, 2, 2,1841-W-North-Ave-APT-2-Chicago-IL-60622,https://www.zillow.com/homedetails/1841-W-North-Ave-APT-2-Chicago-IL-60622/2083542652_zpid/,,,,,,
366,Multi Family,1910,Forced air,Central,3 spaces,,No Data,"$999,000", 7, 6, 6,845-W-Leland-Ave-Chicago-IL-60640,https://www.zillow.com/homedetails/845-W-Leland-Ave-Chicago-IL-60640/2077663600_zpid/,,,,,,
367,Condo,1968,Forced air,No Data,None,$228/month,No Data,"$179,900", 1, 1, 1,2600-N-Hampden-Ct-6C-Chicago-IL-60614,https://www.zillow.com/homedetails/2600-N-Hampden-Ct-6C-Chicago-IL-60614/2079464769_zpid/,,,,,,
368,Multi Family,1888,Electric,No Data,2 spaces,,No Data,"$110,000", 5, 2, 2,2709-W-Harrison-St-Chicago-IL-60612,https://www.zillow.com/homedetails/2709-W-Harrison-St-Chicago-IL-60612/2117162988_zpid/,,,,,,
369,Condo,1968,Forced air,No Data,None,$233/month,No Data,"$179,900", 1, 1, 1,2600-N-Hampden-Ct-7C-Chicago-IL-60614,https://www.zillow.com/homedetails/2600-N-Hampden-Ct-7C-Chicago-IL-60614/2077663854_zpid/,,,,,,
370,Single Family,1928,Gas,Central,2 spaces,,$136,"$299,500", 5, 2, 2,1537-E-84th-St-Chicago-IL-60619,https://www.zillow.com/homedetails/1537-E-84th-St-Chicago-IL-60619/4021872_zpid/,"3,750 sqft",,,,,
371,Condo,1911,"Forced air, Gas",Central,1 space,$216/mo,$261,"$300,000", 2, 1, 1,846-W-Newport-Ave-APT-2N-Chicago-IL-60657,https://www.zillow.com/homedetails/846-W-Newport-Ave-APT-2N-Chicago-IL-60657/80857834_zpid/,,,,,,
372,Condo,No Data,"Forced air, Gas",Central,1 space,$221/mo,,"$315,000", 2, 1, 1,2921-N-Halsted-St-APT-2R-Chicago-IL-60657,https://www.zillow.com/homedetails/2921-N-Halsted-St-APT-2R-Chicago-IL-60657/2146469770_zpid/,,,,,,
373,Condo,1923,No Data,No Data,None,"$3,853/month",$297,"$890,000", 3, 4, 4,237-E-Delaware-Pl-2A-Chicago-IL-60611,https://www.zillow.com/homedetails/237-E-Delaware-Pl-2A-Chicago-IL-60611/2077663963_zpid/,,,,,,
374,Condo,1963,Other,Other,1 space,$432/month,$300,"$179,900", 1, 1, 1,1460-N-Sandburg-Ter-APT-607-Chicago-IL-60610,https://www.zillow.com/homedetails/1460-N-Sandburg-Ter-APT-607-Chicago-IL-60610/2110542553_zpid/,,,,,,
375,Condo,1991,"Forced air, Gas",Central,1 space,$581/mo,$382,"$248,000", 1, 1, 1,474-N-Lake-Shore-Dr-APT-4606-Chicago-IL-60611,https://www.zillow.com/homedetails/474-N-Lake-Shore-Dr-APT-4606-Chicago-IL-60611/80831661_zpid/,,,,,,
376,Condo,No Data,Gas,No Data,No Data,$110/mo,$150,"$224,995", 2, 2, 2,4514-S-Calumet-Ave-APT-1-Chicago-IL-60653,https://www.zillow.com/homedetails/4514-S-Calumet-Ave-APT-1-Chicago-IL-60653/2087646430_zpid/,,,,,,
377,Condo,2003,"Forced air, Gas",Central,1 space,$368/mo,$281,"$225,000", 1, 1, 1,1525-S-Sangamon-St-714-Chicago-IL-60608,https://www.zillow.com/homedetails/1525-S-Sangamon-St-714-Chicago-IL-60608/65572086_zpid/,,,,,,
378,Townhouse,1969,Forced air,Central,1 space,$308/month,$337,"$439,000", 3, 2, 1,1254-W-Westgate-Ter-Chicago-IL-60607,https://www.zillow.com/homedetails/1254-W-Westgate-Ter-Chicago-IL-60607/3874055_zpid/,"1,427 sqft", 1,,,,
379,Single Family,1925,No Data,No Data,1 space,,$257,"$274,900", 3, 2, 1,6118-W-Waveland-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/6118-W-Waveland-Ave-Chicago-IL-60634/3659177_zpid/,"4,125 sqft", 1,,,,
380,Single Family,No Data,Forced air,Central,4 spaces,None,$660,"$3,300,000", 5, 7, 6,1522-1526-N-Wieland-St-Chicago-IL-60610,https://www.zillow.com/homedetails/1522-1526-N-Wieland-St-Chicago-IL-60610/2077666977_zpid/,"7,840 sqft", 1,,,,
381,Condo,No Data,"Forced air, Gas",Central,No Data,$227/mo,$206,"$185,000", 1, 1, 1,1405-W-Rosemont-Ave-APT-2E-Chicago-IL-60660,https://www.zillow.com/homedetails/1405-W-Rosemont-Ave-APT-2E-Chicago-IL-60660/2081639898_zpid/,,,,,,
382,Single Family,1942,"Forced air, Gas",Central,2 spaces,,$113,"$449,000", 5, 2, 2,5757-W-Cornelia-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/5757-W-Cornelia-Ave-Chicago-IL-60634/3661666_zpid/,"4,660 sqft",,,,,
383,Condo,1924,No Data,No Data,No Data,"$1,178/mo",,"$299,900", 1, 1, 1,1255-N-State-Pkwy-APT-8J-Chicago-IL-60610,https://www.zillow.com/homedetails/1255-N-State-Pkwy-APT-8J-Chicago-IL-60610/3845001_zpid/,,,,,,
384,Single Family,1912,"Baseboard, Forced air, Gas",Central,2 spaces,,$147,"$750,000", 4, 4, 3,5766-N-East-Circle-Ave-Chicago-IL-60631,https://www.zillow.com/homedetails/5766-N-East-Circle-Ave-Chicago-IL-60631/3628642_zpid/,"9,191 sqft", 1,,,,
385,Condo,1921,Forced air,Central,2 spaces,$155/month,$241,"$289,000", 3, 2, 2,6344-N-Artesian-Ave-2-Chicago-IL-60659,https://www.zillow.com/homedetails/6344-N-Artesian-Ave-2-Chicago-IL-60659/2077664382_zpid/,,,,,,
386,Condo,No Data,Gas,No Data,None,$110/month,$190,"$284,995", 3, 2, 2,4514-S-Calumet-Ave-APT-3-Chicago-IL-60653,https://www.zillow.com/homedetails/4514-S-Calumet-Ave-APT-3-Chicago-IL-60653/2087646440_zpid/,,,,,,
387,Condo,2007,"Forced air, Gas",Central,1 space,$884/mo,$382,"$535,000", 2, 2, 2,160-E-Illinois-St-APT-906-Chicago-IL-60611,https://www.zillow.com/homedetails/160-E-Illinois-St-APT-906-Chicago-IL-60611/89944318_zpid/,,,,,,
388,Condo,No Data,Gas,No Data,None,$110/month,$183,"$274,995", 3, 2, 2,4514-S-Calumet-Ave-APT-2-Chicago-IL-60653,https://www.zillow.com/homedetails/4514-S-Calumet-Ave-APT-2-Chicago-IL-60653/2087646431_zpid/,,,,,,
389,Condo,1974,Forced air,Central,1 space,$824/month,$184,"$230,000", 2, 2, 2,5415-N-Sheridan-Rd-APT-2111-Chicago-IL-60640,https://www.zillow.com/homedetails/5415-N-Sheridan-Rd-APT-2111-Chicago-IL-60640/3700294_zpid/,,,,,,
390,Condo,2019,"Forced air, Gas",Central,1 space,$220/mo,$513,"$1,025,000", 3, 3, 2,1516-W-Wrightwood-Ave-3-Chicago-IL-60614,https://www.zillow.com/homedetails/1516-W-Wrightwood-Ave-3-Chicago-IL-60614/2086307448_zpid/,, 1,,,,
391,Single Family,1927,No Data,No Data,2 spaces,None,$228,"$359,900", 3, 3, 1,4643-N-Keating-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/4643-N-Keating-Ave-Chicago-IL-60630/3646048_zpid/,"4,704 sqft", 2,,,,
392,Multi Family,1875,Forced air,No Data,None,,$184,"$425,000", 4, 2, 2,3134-S-May-St-Chicago-IL-60608,https://www.zillow.com/homedetails/3134-S-May-St-Chicago-IL-60608/2098793037_zpid/,,,,,,
393,Condo,1921,Forced air,Central,1 space,$155/month,$303,"$234,900", 2, 2, 2,6344-N-Artesian-Ave-1-Chicago-IL-60659,https://www.zillow.com/homedetails/6344-N-Artesian-Ave-1-Chicago-IL-60659/2077664410_zpid/,,,,,,
394,Condo,1972,"Wall, Electric",Other,2 spaces,$578/mo,$269,"$229,000", 1, 1, 1,1221-N-Dearborn-St-APT-1402N-Chicago-IL-60610,https://www.zillow.com/homedetails/1221-N-Dearborn-St-APT-1402N-Chicago-IL-60610/3858180_zpid/,,,,,,
395,Condo,2020,Forced air,Central,2 spaces,No Data,"$3,000,000","$3,000,000", 5, 6, 5,https:,https://www.zillow.com/community/peoria-green/2078713716_zpid/,, 1,,,,
396,Single Family,1950,"Forced air, Gas",Central,2 spaces,,$171,"$379,900", 3, 3, 3,4229-N-Major-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/4229-N-Major-Ave-Chicago-IL-60634/3653477_zpid/,"4,251 sqft",,,,,
397,Condo,2000,"Forced air, Gas",Central,1 space,$715/mo,$352,"$475,000", 2, 2, 2,400-W-Ontario-St-APT-1301-Chicago-IL-60654,https://www.zillow.com/homedetails/400-W-Ontario-St-APT-1301-Chicago-IL-60654/58366301_zpid/,,,,,,
398,Condo,2003,Forced air,Central,1 space,$566/month,$373,"$485,000", 2, 2, 2,1200-W-Monroe-St-APT-805-Chicago-IL-60607,https://www.zillow.com/homedetails/1200-W-Monroe-St-APT-805-Chicago-IL-60607/70473767_zpid/,,,,,,
