,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,Lot,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
215,Condo,1966,"Gas, Other",No Data,1 space,$221/mo,,"$134,900", 1, 1, 1,4930-N-Lester-Ave-APT-1C-Chicago-IL-60630,https://www.zillow.com/homedetails/4930-N-Lester-Ave-APT-1C-Chicago-IL-60630/2077649465_zpid/,,,,,,
216,Single Family,1906,"Forced air, Gas",Central,1 space,,$174,"$575,000", 3, 3, 2,4138-N-Harding-Ave-Chicago-IL-60618,https://www.zillow.com/homedetails/4138-N-Harding-Ave-Chicago-IL-60618/3645245_zpid/,"4,704 sqft", 1,,,,
217,Condo,2008,"Forced air, Heat pump, Electric",Central,1 space,$523/mo,$330,"$370,000", 1, 1, 1,50-E-16th-St-UNIT-502-Chicago-IL-60616,https://www.zillow.com/homedetails/50-E-16th-St-UNIT-502-Chicago-IL-60616/113953210_zpid/,,,,,,
218,Condo,2013,Forced air,Central,1 space,$425/month,$338,"$575,000", 3, 2, 2,2204-W-Chicago-Ave-APT-2W-Chicago-IL-60622,https://www.zillow.com/homedetails/2204-W-Chicago-Ave-APT-2W-Chicago-IL-60622/124874137_zpid/,,,,,,
219,Condo,1901,No Data,No Data,1 space,$498/mo,,"$315,000", 2, 1, 1,743-W-Wellington-Ave-3-Chicago-IL-60657,https://www.zillow.com/homedetails/743-W-Wellington-Ave-3-Chicago-IL-60657/3720452_zpid/,,,,,,
220,Condo,1968,"Forced air, Other",Central,1 space,$926/mo,$293,"$262,000", 1, 1, 1,1555-N-Dearborn-Pkwy-APT-7A-Chicago-IL-60610,https://www.zillow.com/homedetails/1555-N-Dearborn-Pkwy-APT-7A-Chicago-IL-60610/3855217_zpid/,,,,,,
221,Condo,2002,"Forced air, Gas",Central,1 space,$229/mo,$194,"$350,000", 3, 3, 3,116-S-Bell-Ave-APT-1-Chicago-IL-60612,https://www.zillow.com/homedetails/116-S-Bell-Ave-APT-1-Chicago-IL-60612/70474031_zpid/,,,,,,
222,Single Family,2009,"Forced air, Gas",Central,1 space,,$162,"$649,000", 4, 4, 3,4205-N-Mobile-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/4205-N-Mobile-Ave-Chicago-IL-60634/89913958_zpid/,"3,598 sqft", 1,,,,
223,Condo,1923,Other,Wall,None,$271/month,$259,"$190,000", 2, 1, 1,4894-N-Ashland-Ave-APT-2W-Chicago-IL-60640,https://www.zillow.com/homedetails/4894-N-Ashland-Ave-APT-2W-Chicago-IL-60640/49917565_zpid/,,,,,,
224,Condo,1909,Forced air,Central,None,$138/month,$327,"$299,000", 1, 1, 1,2054-W-Augusta-Blvd-1-Chicago-IL-60622,https://www.zillow.com/homedetails/2054-W-Augusta-Blvd-1-Chicago-IL-60622/63698236_zpid/,,,,,,
225,Condo,1993,Gas,Central,1 space,$125/mo,$361,"$469,000", 2, 2, 2,2704-N-Greenview-Ave-A-Chicago-IL-60614,https://www.zillow.com/homedetails/2704-N-Greenview-Ave-A-Chicago-IL-60614/2077649879_zpid/,,,,,,
226,Single Family,1900,Forced air,Central,2 spaces,,$159,"$349,900", 4, 2, 2,1840-N-Pulaski-Rd-Chicago-IL-60639,https://www.zillow.com/homedetails/1840-N-Pulaski-Rd-Chicago-IL-60639/3687075_zpid/,"3,136 sqft",,,,,
227,Condo,1921,Gas,No Data,1 space,$450/month,$146,"$275,000", 3, 2, 2,1444-W-Fargo-Ave-APT-3W-Chicago-IL-60626,https://www.zillow.com/homedetails/1444-W-Fargo-Ave-APT-3W-Chicago-IL-60626/3568490_zpid/,,,,,,
228,Condo,No Data,"Forced air, Gas",Central,No Data,$84/mo,,"$209,900", 2, 1, 1,4755-N-Malden-St-APT-GS-Chicago-IL-60640,https://www.zillow.com/homedetails/4755-N-Malden-St-APT-GS-Chicago-IL-60640/2077650013_zpid/,,,,,,
229,Condo,2006,"Forced air, Gas",Central,1 space,$393/mo,$313,"$250,000", 1, 1, 1,1935-S-Archer-Ave-APT-623-Chicago-IL-60616,https://www.zillow.com/homedetails/1935-S-Archer-Ave-APT-623-Chicago-IL-60616/87699551_zpid/,,,,,,
230,Single Family,1965,"Forced air, Gas",No Data,2 spaces,,$67,"$79,900", 4, 2, 2,500-E-92nd-St-Chicago-IL-60619,https://www.zillow.com/homedetails/500-E-92nd-St-Chicago-IL-60619/4117577_zpid/,"4,373 sqft",,,,,
231,Condo,1991,Forced air,Central,1 space,$940/month,$421,"$530,000", 2, 2, 2,474-N-Lake-Shore-Dr-APT-1911-Chicago-IL-60611,https://www.zillow.com/homedetails/474-N-Lake-Shore-Dr-APT-1911-Chicago-IL-60611/80855094_zpid/,,,,,,
232,Single Family,1906,Forced air,None,2 spaces,,$72,"$119,000", 5, 2, 2,251-W-106th-Pl-Chicago-IL-60628,https://www.zillow.com/homedetails/251-W-106th-Pl-Chicago-IL-60628/4142042_zpid/,"3,136 sqft",,,,,
233,Single Family,1916,Gas,No Data,None,,$169,"$140,000", 5, 2, 2,7032-S-Rockwell-St-Chicago-IL-60629,https://www.zillow.com/homedetails/7032-S-Rockwell-St-Chicago-IL-60629/3956543_zpid/,"3,659 sqft",,,,,
234,Single Family,1910,"Other, Gas",None,2 spaces,,$50,"$59,900", 5, 2, 2,44-E-104th-St-Chicago-IL-60628,https://www.zillow.com/homedetails/44-E-104th-St-Chicago-IL-60628/4138426_zpid/,"4,094 sqft",,,,,
235,Single Family,1912,Other,None,1 space,,$101,"$97,000", 5, 2, 2,311-W-107th-St-Chicago-IL-60628,https://www.zillow.com/homedetails/311-W-107th-St-Chicago-IL-60628/4142885_zpid/,"3,746 sqft",,,,,
236,Single Family,1910,"Electric, Gas",Central,No Data,,$90,"$900,000", 6, 6, 3,2414-N-Kedzie-Blvd-Chicago-IL-60647,https://www.zillow.com/homedetails/2414-N-Kedzie-Blvd-Chicago-IL-60647/2083122998_zpid/,"9,883 sqft", 3,,,,
237,Condo,1970,"Baseboard, Electric",No Data,1 space,$873/mo,$169,"$269,900", 2, 2, 2,6145-47-N-Sheridan-Rd-30A-Chicago-IL-60660,https://www.zillow.com/homedetails/6145-47-N-Sheridan-Rd-30A-Chicago-IL-60660/2077650380_zpid/,,,,,,
238,Single Family,1897,Gas,Central,2 spaces,,$306,"$397,900", 3, 2, 1,2234-N-Central-Park-Ave-Chicago-IL-60647,https://www.zillow.com/homedetails/2234-N-Central-Park-Ave-Chicago-IL-60647/3687317_zpid/,"3,750 sqft", 1,,,,
239,Condo,2005,"Forced air, Gas",Central,1 space,$518/mo,$406,"$324,900", 1, 1, 1,210-S-Desplaines-St-APT-210-Chicago-IL-60661,https://www.zillow.com/homedetails/210-S-Desplaines-St-APT-210-Chicago-IL-60661/70472436_zpid/,,,,,,
240,Single Family,1908,"Forced air, Gas",Central,8 spaces,,$262,"$645,000", 4, 3, 2,4539-N-Knox-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/4539-N-Knox-Ave-Chicago-IL-60630/158458788_zpid/,"6,751 sqft", 1,,,,
241,Condo,2002,Forced air,Central,1 space,$271/month,$250,"$400,000", 3, 2, 2,2554-W-Logan-Blvd-APT-101-Chicago-IL-60647,https://www.zillow.com/homedetails/2554-W-Logan-Blvd-APT-101-Chicago-IL-60647/63693351_zpid/,,,,,,
242,Single Family,1987,Forced air,Central,2 spaces,,$220,"$325,000", 5, 3, 2,5308-S-Parkside-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/5308-S-Parkside-Ave-Chicago-IL-60638/3922221_zpid/,"4,312 sqft", 1,,,,
243,Single Family,1924,Forced air,Central,7 spaces,None,$208,"$924,500", 5, 5, 4,6449-N-Nordica-Ave-Chicago-IL-60631,https://www.zillow.com/homedetails/6449-N-Nordica-Ave-Chicago-IL-60631/3551829_zpid/,"7,440 sqft", 1,,,,
244,Condo,2005,"Forced air, Gas",Central,1 space,"$1,198/mo",$337,"$599,000", 2, 3, 2,330-W-Grand-Ave-APT-2002-Chicago-IL-60654,https://www.zillow.com/homedetails/330-W-Grand-Ave-APT-2002-Chicago-IL-60654/80849900_zpid/,, 1,,,,
245,Condo,2011,Forced air,Central,1 space,$153/month,No Data,"$549,000", 2, 2, 2,2852-N-Racine-Ave-2-Chicago-IL-60657,https://www.zillow.com/homedetails/2852-N-Racine-Ave-2-Chicago-IL-60657/121067313_zpid/,,,,,,
246,Townhouse,1983,Gas,Central,1 space,$100/month,$86,"$95,000", 2, 2, 1,7356-S-Coles-Ave-F-Chicago-IL-60649,https://www.zillow.com/homedetails/7356-S-Coles-Ave-F-Chicago-IL-60649/4025177_zpid/,0.27 acres, 1,,,,
247,Single Family,1935,"Forced air, Gas",Central,2 spaces,,$231,"$249,900", 3, 2, 2,3728-W-67th-Pl-Chicago-IL-60629,https://www.zillow.com/homedetails/3728-W-67th-Pl-Chicago-IL-60629/3953929_zpid/,"6,011 sqft",,,,,
248,Condo,1910,Forced air,Central,1 space,$931/month,$576,"$979,900", 2, 2, 2,550-N-Kingsbury-St-APT-606-Chicago-IL-60654,https://www.zillow.com/homedetails/550-N-Kingsbury-St-APT-606-Chicago-IL-60654/3861957_zpid/,,,,,,
249,Multi Family,1895,Forced air,Central,2 spaces,,No Data,"$1,150,000", 6, 5, 5,1951-N-Dayton-St-Chicago-IL-60614,https://www.zillow.com/homedetails/1951-N-Dayton-St-Chicago-IL-60614/2077652629_zpid/,,,,,,
250,Condo,2006,Forced air,Central,1 space,$604/month,$350,"$475,000", 2, 2, 2,100-E-14th-St-APT-2509-Chicago-IL-60605,https://www.zillow.com/homedetails/100-E-14th-St-APT-2509-Chicago-IL-60605/101211757_zpid/,,,,,,
251,Multi Family,2020,Forced air,Central,3 spaces,,No Data,"$899,000", 6, 6, 6,556-E-46th-Pl-Chicago-IL-60653,https://www.zillow.com/homedetails/556-E-46th-Pl-Chicago-IL-60653/2077652872_zpid/,,,,,,
252,Single Family,1926,Gas,Central,2 spaces,,$234,"$275,000", 4, 2, 2,4918-W-Drummond-Pl-Chicago-IL-60639,https://www.zillow.com/homedetails/4918-W-Drummond-Pl-Chicago-IL-60639/3674268_zpid/,"3,702 sqft",,,,,
253,Multi Family,2020,Forced air,No Data,2 spaces,,No Data,"$799,999", 9, 5, 5,1336-N-Hamlin-Ave-Chicago-IL-60651,https://www.zillow.com/homedetails/1336-N-Hamlin-Ave-Chicago-IL-60651/158675574_zpid/,,,,,,
254,Single Family,1952,"Forced air, Gas",Central,2 spaces,,$208,"$499,000", 4, 3, 3,6350-N-Merrimac-Ave-Chicago-IL-60646,https://www.zillow.com/homedetails/6350-N-Merrimac-Ave-Chicago-IL-60646/3625028_zpid/,"3,746 sqft",,,,,
255,Single Family,1890,Other,No Data,4 spaces,None,$71,"$85,000", 4, 2, 2,638-E-65th-St-Chicago-IL-60637,https://www.zillow.com/homedetails/638-E-65th-St-Chicago-IL-60637/3999272_zpid/,"2,879 sqft",,,,,
256,Single Family,2020,No Data,No Data,2 spaces,,$162,"$405,872", 4, 2, 2,154-Balderson-Dr-Pickerington-OH-43147,https://www.zillow.com/homedetails/154-Balderson-Dr-Pickerington-OH-43147/2077654125_zpid/,No Data,,,,,
257,Single Family,1945,Gas,Central,1 space,,$154,"$139,000", 2, 1, 1,7617-S-Euclid-Ave-Chicago-IL-60649,https://www.zillow.com/homedetails/7617-S-Euclid-Ave-Chicago-IL-60649/4002608_zpid/,"2,029 sqft",,,,,
258,Single Family,1880,Gas,Central,2 spaces,None,$226,"$645,000", 4, 4, 3,223-S-Hamilton-Ave-Chicago-IL-60612,https://www.zillow.com/homedetails/223-S-Hamilton-Ave-Chicago-IL-60612/3874626_zpid/,"3,070 sqft", 1,,,,
259,Condo,2001,"Forced air, Gas",Central,2 spaces,$261/mo,$359,"$574,900", 2, 2, 2,1140-N-Milwaukee-Ave-APT-4-Chicago-IL-60642,https://www.zillow.com/homedetails/1140-N-Milwaukee-Ave-APT-4-Chicago-IL-60642/60266478_zpid/,,,,,,
260,Single Family,1985,Forced air,Central,2 spaces,None,$292,"$349,900", 3, 2, 2,3214-N-Osage-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/3214-N-Osage-Ave-Chicago-IL-60634/3599153_zpid/,"3,746 sqft",,,,,
261,Townhouse,2001,"Forced air, Gas",Central,2 spaces,,$197,"$295,000", 3, 3, 2,4555-N-Central-Ave-6-Chicago-IL-60630,https://www.zillow.com/homedetails/4555-N-Central-Ave-6-Chicago-IL-60630/60261743_zpid/,"1,531 sqft", 1,,,,
262,Single Family,1925,Forced air,Central,2 spaces,None,$114,"$285,000", 4, 3, 3,7625-S-Indiana-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/7625-S-Indiana-Ave-Chicago-IL-60619/4005579_zpid/,"4,835 sqft",,,,,
263,Condo,1925,Forced air,Central,1 space,$270/month,$340,"$238,000", 2, 1, 1,4742-N-Hamilton-Ave-2-Chicago-IL-60625,https://www.zillow.com/homedetails/4742-N-Hamilton-Ave-2-Chicago-IL-60625/58360574_zpid/,,,,,,
264,Condo,1920,Forced air,Central,None,$223/month,$279,"$265,000", 2, 2, 2,3301-N-Ridgeway-Ave-2S-Chicago-IL-60618,https://www.zillow.com/homedetails/3301-N-Ridgeway-Ave-2S-Chicago-IL-60618/70458670_zpid/,,,,,,
265,Single Family,2005,Gas,Central,2 spaces,,$192,"$450,000", 4, 3, 3,5202-W-Strong-St-Chicago-IL-60630,https://www.zillow.com/homedetails/5202-W-Strong-St-Chicago-IL-60630/65557634_zpid/,"3,179 sqft",,,,,
266,Single Family,1922,Forced air,Central,6 spaces,None,$165,"$415,000", 4, 3, 3,4226-N-Melvina-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/4226-N-Melvina-Ave-Chicago-IL-60634/3652127_zpid/,"9,448 sqft",,,,,
267,Single Family,1885,Forced air,Central,No Data,,$33,"$50,000", 3, 2, 1,10221-S-Emerald-Ave-Chicago-IL-60628,https://www.zillow.com/homedetails/10221-S-Emerald-Ave-Chicago-IL-60628/4131866_zpid/,"6,229 sqft", 1,,,,
268,Single Family,1890,No Data,No Data,None,None,$34,"$39,900", 4, 2, 2,8521-S-May-St-Chicago-IL-60620,https://www.zillow.com/homedetails/8521-S-May-St-Chicago-IL-60620/4016303_zpid/,"3,750 sqft",,,,,
269,Condo,2008,Forced air,Central,1 space,$748/month,$348,"$629,000", 3, 2, 2,520-S-State-St-APT-1209-Chicago-IL-60605,https://www.zillow.com/homedetails/520-S-State-St-APT-1209-Chicago-IL-60605/101396125_zpid/,,,,,,
