,Year built,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Half bathrooms,Lot,Type_Condo,Type_Mobile / Manufactured,Type_Multi Family,Type_Multiple Occupancy,Type_Single Family,Type_Townhouse,"Cooling_Central, Evaporative","Cooling_Central, Wall",Cooling_Evaporative,Cooling_None,Cooling_Other,Cooling_Wall,City
425,2006.0,599900.0,438.0,599900.0,2.0,2.0,2.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
426,2020.0,378800.0,338.0,378800.0,2.0,2.0,2.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
427,2020.0,344990.0,164.0,344990.0,4.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
428,2020.0,571990.0,143.0,571990.0,4.0,4.0,3.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
429,1938.0,515000.0,278.0,515000.0,4.0,2.0,2.0,0,,0,0,0,1,0,0,0,0,0,0,0,0,Austin
430,,299995.0,124.0,299995.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
431,2005.0,995000.0,509.0,995000.0,2.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
432,2006.0,2950000.0,564.0,2950000.0,5.0,5.0,4.0,1,13939.2,0,0,0,0,1,0,0,0,0,0,0,0,Austin
433,2020.0,217990.0,161.0,217990.0,3.0,3.0,2.0,1,,0,0,0,0,0,1,0,0,0,1,0,0,Austin
434,,463990.0,240.0,463990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
435,2002.0,475000.0,233.0,475000.0,3.0,3.0,2.0,1,5488.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
436,2020.0,387990.0,248.0,387990.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
437,2020.0,735000.0,299.0,735000.0,3.0,4.0,3.0,1,,0,0,0,0,0,1,0,0,0,1,0,0,Austin
438,,367400.0,168.0,367400.0,4.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
439,2020.0,1103089.0,395.0,1103089.0,3.0,4.0,3.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
440,2020.0,756000.0,355.0,756000.0,4.0,4.0,3.0,1,3484.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
441,2020.0,684000.0,370.0,684000.0,3.0,3.0,2.0,1,3049.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
442,2020.0,567990.0,195.0,567990.0,4.0,4.0,3.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
443,2020.0,331990.0,146.0,331990.0,4.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
444,2020.0,452990.0,245.0,452990.0,4.0,3.0,3.0,0,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
445,2020.0,1395000.0,501.0,1395000.0,4.0,4.0,3.0,1,7078.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
446,2007.0,389990.0,296.0,389990.0,2.0,2.0,2.0,0,2787.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
447,2007.0,519000.0,440.0,519000.0,2.0,2.0,2.0,0,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
448,2020.0,415995.0,165.0,415995.0,3.0,3.0,2.0,1,,0,0,0,0,1,0,0,0,0,1,0,0,Austin
449,1981.0,305000.0,324.0,305000.0,2.0,3.0,2.0,1,,1,0,0,0,0,0,0,0,0,0,0,0,Austin
450,2008.0,1850000.0,563.0,1850000.0,4.0,5.0,4.0,1,7884.0,0,0,0,0,1,0,0,0,0,0,0,0,Austin
