,Type,Year built,Heating,Cooling,Parking,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,HOA,Lot,Price/sqft,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
284,Condo,1996,"Forced air, Gas",Central,1 space,"$690,000", 2, 2, 2,2011-W-Wabansia-Ave-APT-3-Chicago-IL-60647,https://www.zillow.com/homedetails/2011-W-Wabansia-Ave-APT-3-Chicago-IL-60647/3733740_zpid/,$284/mo,,$406,,,,,
285,Multiple Occupancy,No Data,"Forced air, Gas",Central,2 spaces,"$199,900", 6, 2, 2,7112-S-Greenwood-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/7112-S-Greenwood-Ave-Chicago-IL-60619/2077659687_zpid/,,,,,,,,
286,Single Family,1951,"Forced air, Gas",Central,2 spaces,"$249,900", 4, 2, 2,6055-S-Melvina-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/6055-S-Melvina-Ave-Chicago-IL-60638/3942492_zpid/,,"3,750 sqft",$254,,,,,
287,Single Family,1954,"Forced air, Gas",Central,3 spaces,"$489,900", 3, 2, 2,5858-S-Natchez-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/5858-S-Natchez-Ave-Chicago-IL-60638/3945612_zpid/,,"4,852 sqft",$241,,,,,
288,Single Family,1966,Forced air,Central,2 spaces,"$135,000", 4, 2, 2,1741-E-91st-Pl-Chicago-IL-60617,https://www.zillow.com/homedetails/1741-E-91st-Pl-Chicago-IL-60617/4112391_zpid/,None,"5,000 sqft",$82,,,,,
289,Multiple Occupancy,1914,"Forced air, Gas",Central,2 spaces,"$644,500", 8, 5, 5,5030-W-Hutchinson-St-Chicago-IL-60641,https://www.zillow.com/homedetails/5030-W-Hutchinson-St-Chicago-IL-60641/2146987904_zpid/,,,,,,,,
290,Condo,1914,Gas,No Data,1 space,"$275,000", 2, 1, 1,6435-N-Newgard-Ave-1-N-Chicago-IL-60626,https://www.zillow.com/homedetails/6435-N-Newgard-Ave-1-N-Chicago-IL-60626/2077659871_zpid/,$300/month,,$196,,,,,
291,Condo,1955,Forced air,Central,2 spaces,"$265,000", 0, 1, 1,900-N-Lake-Shore-Dr-APT-811-Chicago-IL-60611,https://www.zillow.com/homedetails/900-N-Lake-Shore-Dr-APT-811-Chicago-IL-60611/3849447_zpid/,$391/month,,$411,,,,,
292,Single Family,2007,Forced air,Central,4 spaces,"$2,950,000", 6, 6, 5,1464-W-Byron-St-Chicago-IL-60613,https://www.zillow.com/homedetails/1464-W-Byron-St-Chicago-IL-60613/3710859_zpid/,,"3,750 sqft",$476, 1,,,,
293,Condo,1955,"Forced air, Gas",Central,1 space,"$264,500", 1, 1, 1,910-N-Lake-Shore-Dr-APT-2016-Chicago-IL-60610,https://www.zillow.com/homedetails/910-N-Lake-Shore-Dr-APT-2016-Chicago-IL-60610/2077660302_zpid/,$667/mo,,$315,,,,,
294,Single Family,1974,Gas,Central,2 spaces,"$379,000", 3, 1, 1,3615-S-Wallace-St-Chicago-IL-60609,https://www.zillow.com/homedetails/3615-S-Wallace-St-Chicago-IL-60609/3881931_zpid/,,"3,123 sqft",$316,,,,,
295,Condo,1969,Baseboard,Central,1 space,"$205,000", 0, 1, 1,2800-N-Lake-Shore-Dr-APT-1709-Chicago-IL-60657,https://www.zillow.com/homedetails/2800-N-Lake-Shore-Dr-APT-1709-Chicago-IL-60657/3723529_zpid/,$361/month,,$342,,,,,
296,Condo,1973,No Data,No Data,None,"$289,900", 1, 1, 1,71-E-Division-St-APT-1102-Chicago-IL-60610,https://www.zillow.com/homedetails/71-E-Division-St-APT-1102-Chicago-IL-60610/3846232_zpid/,$550/month,,No Data,,,,,
297,Single Family,2018,"Forced air, Gas",Central,2 spaces,"$649,000", 4, 4, 3,3350-N-Kilbourn-Ave-Chicago-IL-60641,https://www.zillow.com/homedetails/3350-N-Kilbourn-Ave-Chicago-IL-60641/306332407_zpid/,,"3,199 sqft",$240, 1,,,,
298,Condo,2007,"Forced air, Gas",Central,1 space,"$1,120,000", 2, 2, 2,600-N-Fairbanks-Ct-UNIT-3510-Chicago-IL-60611,https://www.zillow.com/homedetails/600-N-Fairbanks-Ct-UNIT-3510-Chicago-IL-60611/89887943_zpid/,"$1,302/mo",,$605,,,,,
299,Condo,1972,Electric,No Data,1 space,"$330,000", 2, 2, 1,1221-N-Dearborn-St-PENTHOUSE-P9N-Chicago-IL-60610,https://www.zillow.com/homedetails/1221-N-Dearborn-St-PENTHOUSE-P9N-Chicago-IL-60610/2077660538_zpid/,$803/mo,,$275, 1,,,,
300,Single Family,2006,Forced air,Central,2 spaces,"$489,000", 5, 4, 3,3124-N-Olcott-Ave-Chicago-IL-60707,https://www.zillow.com/homedetails/3124-N-Olcott-Ave-Chicago-IL-60707/3601352_zpid/,None,"4,430 sqft",$163, 1,,,,
301,Condo,1963,Forced air,Central,2 spaces,"$365,000", 1, 1, 1,400-E-Randolph-St-APT-2528-Chicago-IL-60601,https://www.zillow.com/homedetails/400-E-Randolph-St-APT-2528-Chicago-IL-60601/3869556_zpid/,$658/mo,,$429,,,,,
302,Condo,1895,Gas,Central,1 space,"$290,000", 1, 1, 1,625-W-Jackson-Blvd-APT-309-Chicago-IL-60661,https://www.zillow.com/homedetails/625-W-Jackson-Blvd-APT-309-Chicago-IL-60661/61960988_zpid/,$449/month,,$331,,,,,
303,Multiple Occupancy,1920,Gas,Central,2 spaces,"$1,150,000", 6, 5, 3,2141-W-Crystal-St-Chicago-IL-60622,https://www.zillow.com/homedetails/2141-W-Crystal-St-Chicago-IL-60622/2099654380_zpid/,,,, 2,,,,
304,Multiple Occupancy,1900,Other,No Data,2 spaces,"$749,000", 6, 3, 3,2946-N-Rockwell-St-Chicago-IL-60618,https://www.zillow.com/homedetails/2946-N-Rockwell-St-Chicago-IL-60618/2077660605_zpid/,,,,,,,,
305,Single Family,1921,Forced air,Central,2 spaces,"$279,000", 4, 3, 3,7735-S-Michigan-Ave-Chicago-IL-60619,https://www.zillow.com/homedetails/7735-S-Michigan-Ave-Chicago-IL-60619/4005727_zpid/,None,"5,366 sqft",$179,,,,,
306,Condo,2003,"Forced air, Gas",Central,1 space,"$475,000", 3, 3, 3,2940-N-Spaulding-Ave-APT-1N-Chicago-IL-60618,https://www.zillow.com/homedetails/2940-N-Spaulding-Ave-APT-1N-Chicago-IL-60618/70458835_zpid/,$418/mo,,$245,,,,,
307,Condo,1918,Gas,Central,1 space,"$315,000", 2, 2, 2,820-W-Sunnyside-Ave-APT-3B-Chicago-IL-60640,https://www.zillow.com/homedetails/820-W-Sunnyside-Ave-APT-3B-Chicago-IL-60640/70451050_zpid/,$255/month,,$297,,,,,
308,Condo,1911,Forced air,Central,1 space,"$1,799,888", 3, 3, 2,910-S-Michigan-Ave-APT-1905-Chicago-IL-60605,https://www.zillow.com/homedetails/910-S-Michigan-Ave-APT-1905-Chicago-IL-60605/70472156_zpid/,"$2,422/month",,$443, 1,,,,
309,Single Family,1956,Gas,Central,5 spaces,"$309,000", 3, 1, 1,5832-S-Newcastle-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/5832-S-Newcastle-Ave-Chicago-IL-60638/3944672_zpid/,,"4,748 sqft",$308,,,,,
310,Multi Family,1908,Forced air,Central,2 spaces,"$585,000", 7, 3, 3,4126-N-Drake-Ave-Chicago-IL-60618,https://www.zillow.com/homedetails/4126-N-Drake-Ave-Chicago-IL-60618/2125272056_zpid/,,,$585,,,,,
311,Condo,No Data,Gas,Central,1 space,"$164,900", 2, 2, 2,538-E-44th-St-APT-G-Chicago-IL-60653,https://www.zillow.com/homedetails/538-E-44th-St-APT-G-Chicago-IL-60653/113961275_zpid/,$175/mo,,$150,,,,,
312,Condo,2007,Forced air,Central,1 space,"$659,000", 4, 3,,2424-N-Southport-Ave-APT-D-Chicago-IL-60614,https://www.zillow.com/homedetails/2424-N-Southport-Ave-APT-D-Chicago-IL-60614/89962465_zpid/,$98/month,,$388,,,,,
313,Condo,1974,Electric,No Data,1 space,"$192,900", 1, 1, 1,1221-N-Dearborn-St-APT-401N-Chicago-IL-60610,https://www.zillow.com/homedetails/1221-N-Dearborn-St-APT-401N-Chicago-IL-60610/3858133_zpid/,$454/mo,,$241,,,,,
314,Multiple Occupancy,1891,"Forced air, Gas",Central,6 spaces,"$389,000", 6, 3, 3,1702-N-Kedvale-Ave-Chicago-IL-60639,https://www.zillow.com/homedetails/1702-N-Kedvale-Ave-Chicago-IL-60639/2125883453_zpid/,,,$146,,,,,
315,Condo,2007,Forced air,Central,2 spaces,"$329,000", 3, 2, 2,5420-N-Kedzie-Ave-APT-3E-Chicago-IL-60625,https://www.zillow.com/homedetails/5420-N-Kedzie-Ave-APT-3E-Chicago-IL-60625/80811288_zpid/,$291/month,,$199,,,,,
316,Condo,1924,No Data,No Data,No Data,"$425,000", 3, 2, 2,6342-N-Sheridan-Rd-1F-Chicago-IL-60660,https://www.zillow.com/homedetails/6342-N-Sheridan-Rd-1F-Chicago-IL-60660/2077661811_zpid/,$890/mo,,$236,,,,,
317,Condo,2007,Forced air,Central,2 spaces,"$329,000", 3, 2, 2,5420-N-Kedzie-Ave-APT-3E-Chicago-IL-60625,https://www.zillow.com/homedetails/5420-N-Kedzie-Ave-APT-3E-Chicago-IL-60625/80811288_zpid/,$291/month,,$199,,,,,
318,Condo,1974,"Baseboard, Electric",No Data,1 space,"$169,900", 2, 1, 1,6800-W-Raven-St-UNIT-405-Chicago-IL-60631,https://www.zillow.com/homedetails/6800-W-Raven-St-UNIT-405-Chicago-IL-60631/3627483_zpid/,$304/mo,,$170,,,,,
319,Condo,2020,"Forced air, Gas",Central,1 space,"$1,049,000", 4, 3, 2,916-W-Barry-Ave-1-Chicago-IL-60657,https://www.zillow.com/homedetails/916-W-Barry-Ave-1-Chicago-IL-60657/2077662134_zpid/,$299/mo,,, 1,,,,
320,Condo,1910,No Data,No Data,1 space,"$299,900", 2, 1, 1,2952-N-Clark-St-APT-2-Chicago-IL-60657,https://www.zillow.com/homedetails/2952-N-Clark-St-APT-2-Chicago-IL-60657/3720469_zpid/,$509/mo,,$250,,,,,
321,Multiple Occupancy,1972,"Forced air, Gas",No Data,2 spaces,"$55,000", 5, 2, 2,1042-W-Marquette-Rd-Chicago-IL-60621,https://www.zillow.com/homedetails/1042-W-Marquette-Rd-Chicago-IL-60621/3997590_zpid/,,,$51,,,,,
322,Condo,1899,Radiant,Other,1 space,"$299,000", 2, 1, 1,745-W-Wellington-Ave-APT-3-Chicago-IL-60657,https://www.zillow.com/homedetails/745-W-Wellington-Ave-APT-3-Chicago-IL-60657/3720449_zpid/,$498/mo,,$299,,,,,
323,Single Family,1934,Gas,Central,2 spaces,"$419,000", 4, 3, 3,1701-N-Newcastle-Ave-Chicago-IL-60707,https://www.zillow.com/homedetails/1701-N-Newcastle-Ave-Chicago-IL-60707/3681886_zpid/,,"3,675 sqft",$154,,,,,
324,Condo,2001,Forced air,Central,1 space,"$625,000", 3, 2, 2,3204-N-Paulina-St-4N-Chicago-IL-60657,https://www.zillow.com/homedetails/3204-N-Paulina-St-4N-Chicago-IL-60657/62009709_zpid/,$354/month,,$347,,,,,
325,Single Family,1890,Forced air,Central,2 spaces,"$549,900", 3, 2, 1,1942-S-Desplaines-St-Chicago-IL-60616,https://www.zillow.com/homedetails/1942-S-Desplaines-St-Chicago-IL-60616/3876148_zpid/,,"2,940 sqft",$275, 1,,,,
326,Condo,1969,No Data,Central,2 spaces,"$249,000", 3, 2, 2,6833-N-Kedzie-Ave-APT-601-Chicago-IL-60645,https://www.zillow.com/homedetails/6833-N-Kedzie-Ave-APT-601-Chicago-IL-60645/3560828_zpid/,$797/mo,,$131,,,,,
327,Multi Family,1910,Forced air,Central,4 spaces,"$1,250,000", 10, 6, 6,3636-N-Racine-Ave-Chicago-IL-60613,https://www.zillow.com/homedetails/3636-N-Racine-Ave-Chicago-IL-60613/2101850286_zpid/,,,No Data,,,,,
328,Condo,2009,Forced air,Central,1 space,"$375,000", 2, 2, 2,235-W-Van-Buren-St-UNIT-3907-Chicago-IL-60607,https://www.zillow.com/homedetails/235-W-Van-Buren-St-UNIT-3907-Chicago-IL-60607/2094320469_zpid/,$370/month,,$352,,,,,
329,Condo,1910,Forced air,Central,None,"$295,000", 2, 2, 2,3302-W-Dickens-Ave-APT-2-Chicago-IL-60647,https://www.zillow.com/homedetails/3302-W-Dickens-Ave-APT-2-Chicago-IL-60647/80810348_zpid/,$242/month,,No Data,,,,,
330,Condo,1900,Gas,Central,1 space,"$450,000", 3, 2, 2,1841-W-North-Ave-APT-2-Chicago-IL-60622,https://www.zillow.com/homedetails/1841-W-North-Ave-APT-2-Chicago-IL-60622/2083542652_zpid/,$300/mo,,$328,,,,,
331,Multi Family,1910,Forced air,Central,3 spaces,"$999,000", 7, 6, 6,845-W-Leland-Ave-Chicago-IL-60640,https://www.zillow.com/homedetails/845-W-Leland-Ave-Chicago-IL-60640/2077663600_zpid/,,,No Data,,,,,
332,Condo,1968,Forced air,No Data,None,"$179,900", 1, 1, 1,2600-N-Hampden-Ct-6C-Chicago-IL-60614,https://www.zillow.com/homedetails/2600-N-Hampden-Ct-6C-Chicago-IL-60614/2079464769_zpid/,$228/month,,No Data,,,,,
333,Multiple Occupancy,1888,Electric,No Data,2 spaces,"$110,000", 5, 2, 2,2709-W-Harrison-St-Chicago-IL-60612,https://www.zillow.com/homedetails/2709-W-Harrison-St-Chicago-IL-60612/2117162988_zpid/,,,,,,,,
334,Condo,1968,Forced air,No Data,None,"$179,900", 1, 1, 1,2600-N-Hampden-Ct-7C-Chicago-IL-60614,https://www.zillow.com/homedetails/2600-N-Hampden-Ct-7C-Chicago-IL-60614/2077663854_zpid/,$233/month,,No Data,,,,,
335,Single Family,1928,Gas,Central,2 spaces,"$299,500", 5, 2, 2,1537-E-84th-St-Chicago-IL-60619,https://www.zillow.com/homedetails/1537-E-84th-St-Chicago-IL-60619/4021872_zpid/,,"3,750 sqft",$136,,,,,
336,Condo,1911,"Forced air, Gas",Central,1 space,"$300,000", 2, 1, 1,846-W-Newport-Ave-APT-2N-Chicago-IL-60657,https://www.zillow.com/homedetails/846-W-Newport-Ave-APT-2N-Chicago-IL-60657/80857834_zpid/,$216/mo,,$261,,,,,
337,Condo,1923,No Data,No Data,No Data,"$890,000", 3, 4, 4,237-E-Delaware-Pl-2A-Chicago-IL-60611,https://www.zillow.com/homedetails/237-E-Delaware-Pl-2A-Chicago-IL-60611/2077663963_zpid/,"$3,853/mo",,$297,,,,,
338,Condo,No Data,"Forced air, Gas",Central,1 space,"$315,000", 2, 1, 1,2921-N-Halsted-St-APT-2R-Chicago-IL-60657,https://www.zillow.com/homedetails/2921-N-Halsted-St-APT-2R-Chicago-IL-60657/2146469770_zpid/,$221/mo,,,,,,,
339,Condo,1963,Other,Other,1 space,"$179,900", 1, 1, 1,1460-N-Sandburg-Ter-APT-607-Chicago-IL-60610,https://www.zillow.com/homedetails/1460-N-Sandburg-Ter-APT-607-Chicago-IL-60610/2110542553_zpid/,$432/mo,,$300,,,,,
340,Condo,1991,"Forced air, Gas",Central,1 space,"$248,000", 1, 1, 1,474-N-Lake-Shore-Dr-APT-4606-Chicago-IL-60611,https://www.zillow.com/homedetails/474-N-Lake-Shore-Dr-APT-4606-Chicago-IL-60611/80831661_zpid/,$581/mo,,$382,,,,,
341,Condo,2003,Forced air,Central,1 space,"$225,000", 1, 1, 1,1525-S-Sangamon-St-714-Chicago-IL-60608,https://www.zillow.com/homedetails/1525-S-Sangamon-St-714-Chicago-IL-60608/65572086_zpid/,$368/month,,$281,,,,,
342,Condo,No Data,Gas,No Data,No Data,"$224,995", 2, 2, 2,4514-S-Calumet-Ave-APT-1-Chicago-IL-60653,https://www.zillow.com/homedetails/4514-S-Calumet-Ave-APT-1-Chicago-IL-60653/2087646430_zpid/,$110/mo,,$150,,,,,
343,Townhouse,1969,Forced air,Central,1 space,"$439,000", 3, 2, 1,1254-W-Westgate-Ter-Chicago-IL-60607,https://www.zillow.com/homedetails/1254-W-Westgate-Ter-Chicago-IL-60607/3874055_zpid/,$308/month,"1,427 sqft",$337, 1,,,,
344,Single Family,1925,No Data,No Data,1 space,"$274,900", 3, 2, 1,6118-W-Waveland-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/6118-W-Waveland-Ave-Chicago-IL-60634/3659177_zpid/,,"4,125 sqft",$257, 1,,,,
345,Single Family,No Data,"Forced air, Gas",Central,4 spaces,"$3,300,000", 5, 7, 6,1522-1526-N-Wieland-St-Chicago-IL-60610,https://www.zillow.com/homedetails/1522-1526-N-Wieland-St-Chicago-IL-60610/2077666977_zpid/,,"7,840 sqft",$660, 1,,,,
346,Condo,No Data,Forced air,Central,None,"$185,000", 1, 1, 1,1405-W-Rosemont-Ave-APT-2E-Chicago-IL-60660,https://www.zillow.com/homedetails/1405-W-Rosemont-Ave-APT-2E-Chicago-IL-60660/2081639898_zpid/,$227/month,,$206,,,,,
347,Single Family,1942,"Forced air, Gas",Central,2 spaces,"$449,000", 5, 2, 2,5757-W-Cornelia-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/5757-W-Cornelia-Ave-Chicago-IL-60634/3661666_zpid/,,"4,660 sqft",$113,,,,,
348,Condo,1924,No Data,No Data,None,"$299,900", 1, 1, 1,1255-N-State-Pkwy-APT-8J-Chicago-IL-60610,https://www.zillow.com/homedetails/1255-N-State-Pkwy-APT-8J-Chicago-IL-60610/3845001_zpid/,"$1,178/month",,No Data,,,,,
349,Single Family,1912,"Baseboard, Forced air, Gas",Central,2 spaces,"$750,000", 4, 4, 3,5766-N-East-Circle-Ave-Chicago-IL-60631,https://www.zillow.com/homedetails/5766-N-East-Circle-Ave-Chicago-IL-60631/3628642_zpid/,,"9,191 sqft",$147, 1,,,,
350,Condo,1921,"Forced air, Gas",Central,2 spaces,"$289,000", 3, 2, 2,6344-N-Artesian-Ave-2-Chicago-IL-60659,https://www.zillow.com/homedetails/6344-N-Artesian-Ave-2-Chicago-IL-60659/2077664382_zpid/,$155/mo,,$241,,,,,
351,Condo,No Data,Gas,No Data,No Data,"$284,995", 3, 2, 2,4514-S-Calumet-Ave-APT-3-Chicago-IL-60653,https://www.zillow.com/homedetails/4514-S-Calumet-Ave-APT-3-Chicago-IL-60653/2087646440_zpid/,$110/mo,,$190,,,,,
352,Condo,2007,"Forced air, Gas",Central,1 space,"$535,000", 2, 2, 2,160-E-Illinois-St-APT-906-Chicago-IL-60611,https://www.zillow.com/homedetails/160-E-Illinois-St-APT-906-Chicago-IL-60611/89944318_zpid/,$884/mo,,$382,,,,,
353,Condo,No Data,Gas,No Data,None,"$274,995", 3, 2, 2,4514-S-Calumet-Ave-APT-2-Chicago-IL-60653,https://www.zillow.com/homedetails/4514-S-Calumet-Ave-APT-2-Chicago-IL-60653/2087646431_zpid/,$110/month,,$183,,,,,
354,Condo,2019,Forced air,Central,1 space,"$1,025,000", 3, 3, 2,1516-W-Wrightwood-Ave-3-Chicago-IL-60614,https://www.zillow.com/homedetails/1516-W-Wrightwood-Ave-3-Chicago-IL-60614/2086307448_zpid/,$220/month,,$512, 1,,,,
355,Single Family,1927,No Data,No Data,2 spaces,"$359,900", 3, 3, 1,4643-N-Keating-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/4643-N-Keating-Ave-Chicago-IL-60630/3646048_zpid/,None,"4,704 sqft",$228, 2,,,,
356,Condo,1974,"Forced air, Gas",Central,1 space,"$230,000", 2, 2, 2,5415-N-Sheridan-Rd-APT-2111-Chicago-IL-60640,https://www.zillow.com/homedetails/5415-N-Sheridan-Rd-APT-2111-Chicago-IL-60640/3700294_zpid/,$824/mo,,$184,,,,,
357,Multi Family,1875,Forced air,No Data,None,"$425,000", 4, 2, 2,3134-S-May-St-Chicago-IL-60608,https://www.zillow.com/homedetails/3134-S-May-St-Chicago-IL-60608/2098793037_zpid/,,,$184,,,,,
358,Condo,1972,"Wall, Electric",Other,2 spaces,"$229,000", 1, 1, 1,1221-N-Dearborn-St-APT-1402N-Chicago-IL-60610,https://www.zillow.com/homedetails/1221-N-Dearborn-St-APT-1402N-Chicago-IL-60610/3858180_zpid/,$578/mo,,$269,,,,,
359,Condo,1921,"Forced air, Gas",Central,1 space,"$234,900", 2, 2, 2,6344-N-Artesian-Ave-1-Chicago-IL-60659,https://www.zillow.com/homedetails/6344-N-Artesian-Ave-1-Chicago-IL-60659/2077664410_zpid/,$155/mo,,$303,,,,,
360,Condo,No Data,"Forced air, Gas",Central,2 spaces,"$3,000,000", 5, 6, 5,https:,https://www.zillow.com/community/peoria-green/2078713716_zpid/,,,"$3,000,000", 1,,,,
361,Single Family,1950,Forced air,Central,2 spaces,"$379,900", 3, 3, 3,4229-N-Major-Ave-Chicago-IL-60634,https://www.zillow.com/homedetails/4229-N-Major-Ave-Chicago-IL-60634/3653477_zpid/,None,"4,251 sqft",$171,,,,,
362,Condo,2000,"Forced air, Gas",Central,1 space,"$475,000", 2, 2, 2,400-W-Ontario-St-APT-1301-Chicago-IL-60654,https://www.zillow.com/homedetails/400-W-Ontario-St-APT-1301-Chicago-IL-60654/58366301_zpid/,$715/mo,,$352,,,,,
363,Condo,2003,"Forced air, Gas",Central,1 space,"$485,000", 2, 2, 2,1200-W-Monroe-St-APT-805-Chicago-IL-60607,https://www.zillow.com/homedetails/1200-W-Monroe-St-APT-805-Chicago-IL-60607/70473767_zpid/,$566/mo,,$373,,,,,
364,Multi Family,No Data,Forced air,No Data,2 spaces,"$894,900", 11, 4, 4,1839-N-Humboldt-Blvd-Chicago-IL-60647,https://www.zillow.com/homedetails/1839-N-Humboldt-Blvd-Chicago-IL-60647/2077665459_zpid/,,,No Data,,,,,
365,Multi Family,1913,Forced air,No Data,4 spaces,"$449,900", 9, 3, 3,1909-N-Pulaski-Rd-Chicago-IL-60639,https://www.zillow.com/homedetails/1909-N-Pulaski-Rd-Chicago-IL-60639/2077665511_zpid/,,,No Data,,,,,
366,Condo,1911,"Forced air, Gas",Central,1 space,"$350,000", 2, 2, 1,1677-W-Olive-Ave-2-Chicago-IL-60660,https://www.zillow.com/homedetails/1677-W-Olive-Ave-2-Chicago-IL-60660/80818116_zpid/,$304/mo,,$342, 1,,,,
367,Condo,1990,Forced air,Central,1 space,"$469,000", 2, 2, 2,1250-N-Dearborn-St-APT-22B-Chicago-IL-60610,https://www.zillow.com/homedetails/1250-N-Dearborn-St-APT-22B-Chicago-IL-60610/3857790_zpid/,"$1,125/month",,$375,,,,,
368,Condo,2011,"Forced air, Gas",Central,1 space,"$439,900", 2, 2, 2,2210-W-Wabansia-Ave-APT-410-Chicago-IL-60647,https://www.zillow.com/homedetails/2210-W-Wabansia-Ave-APT-410-Chicago-IL-60647/54535075_zpid/,$250/mo,,,,,,,
369,Multiple Occupancy,1885,"Forced air, Gas",Central,4 spaces,"$2,000,000", 8, 6, 6,405-W-Eugenie-St-Chicago-IL-60614,https://www.zillow.com/homedetails/405-W-Eugenie-St-Chicago-IL-60614/2111032040_zpid/,,,$500,,,,,
370,Condo,1920,"Forced air, Gas",Central,No Data,"$315,000", 2, 1, 1,3237-N-Oakley-Ave-3N-Chicago-IL-60618,https://www.zillow.com/homedetails/3237-N-Oakley-Ave-3N-Chicago-IL-60618/2077665706_zpid/,$313/mo,,$315,,,,,
371,Condo,1951,"Forced air, Gas",Central,1 space,"$299,900", 3, 3, 2,4346-N-Pulaski-Rd-APT-201-Chicago-IL-60641,https://www.zillow.com/homedetails/4346-N-Pulaski-Rd-APT-201-Chicago-IL-60641/98364882_zpid/,$424/mo,,$214, 1,,,,
372,Single Family,1900,No Data,No Data,6 spaces,"$165,000", 3, 2, 2,13132-S-Houston-Ave-Chicago-IL-60633,https://www.zillow.com/homedetails/13132-S-Houston-Ave-Chicago-IL-60633/4175304_zpid/,,"4,687 sqft",$126,,,,,
373,Single Family,2008,Forced air,Central,2 spaces,"$695,000", 5, 4, 3,4422-N-Keeler-Ave-Chicago-IL-60630,https://www.zillow.com/homedetails/4422-N-Keeler-Ave-Chicago-IL-60630/89968343_zpid/,None,"4,029 sqft",$232, 1,,,,
374,Condo,2008,"Forced air, Electric",Central,1 space,"$380,000", 2, 2, 2,50-E-16th-St-UNIT-1308-Chicago-IL-60616,https://www.zillow.com/homedetails/50-E-16th-St-UNIT-1308-Chicago-IL-60616/113952647_zpid/,$500/mo,,$330,,,,,
375,Condo,1963,Other,Other,1 space,"$297,500", 1, 1, 1,1355-N-Sandburg-Ter-1809D-Chicago-IL-60610,https://www.zillow.com/homedetails/1355-N-Sandburg-Ter-1809D-Chicago-IL-60610/3856381_zpid/,$688/mo,,$350,,,,,
376,Condo,1930,"Forced air, Gas",Central,No Data,"$270,000", 1, 1, 1,758-N-Larrabee-St-APT-632-Chicago-IL-60654,https://www.zillow.com/homedetails/758-N-Larrabee-St-APT-632-Chicago-IL-60654/63698946_zpid/,$369/mo,,$386,,,,,
377,Single Family,1905,"Forced air, Gas",Central,2 spaces,"$599,995", 4, 2, 2,1639-N-Campbell-Ave-Chicago-IL-60647,https://www.zillow.com/homedetails/1639-N-Campbell-Ave-Chicago-IL-60647/3689349_zpid/,,"3,123 sqft",$286,,,,,
378,Condo,1913,No Data,No Data,No Data,"$275,000", 2, 1, 1,2110-W-Montrose-Ave-APT-3S-Chicago-IL-60618,https://www.zillow.com/homedetails/2110-W-Montrose-Ave-APT-3S-Chicago-IL-60618/87690595_zpid/,$323/mo,,,,,,,
379,Condo,2001,"Forced air, Gas",Central,1 space,"$430,000", 3, 2, 2,1601-W-Altgeld-St-APT-3D-Chicago-IL-60614,https://www.zillow.com/homedetails/1601-W-Altgeld-St-APT-3D-Chicago-IL-60614/60201822_zpid/,$233/mo,,$269,,,,,
380,Condo,1939,Other,Other,1 space,"$99,999", 1, 1, 1,5052-N-Marine-Dr-APT-D4-Chicago-IL-60640,https://www.zillow.com/homedetails/5052-N-Marine-Dr-APT-D4-Chicago-IL-60640/2090759933_zpid/,$550/month,,$116,,,,,
381,Condo,1990,Forced air,Central,1 space,"$315,000", 1, 1, 1,401-E-Ontario-St-APT-4204-Chicago-IL-60611,https://www.zillow.com/homedetails/401-E-Ontario-St-APT-4204-Chicago-IL-60611/58367717_zpid/,$639/month,,$406,,,,,
382,Single Family,1953,Forced air,Central,2 spaces,"$142,500", 4, 2, 1,8017-S-Sacramento-Ave-Chicago-IL-60652,https://www.zillow.com/homedetails/8017-S-Sacramento-Ave-Chicago-IL-60652/3977361_zpid/,,"3,789 sqft",$100, 1,,,,
383,Multiple Occupancy,1905,Gas,No Data,2 spaces,"$325,000", 4, 2, 2,4645-W-Montana-St-Chicago-IL-60639,https://www.zillow.com/homedetails/4645-W-Montana-St-Chicago-IL-60639/2077666192_zpid/,,,,,,,,
384,Condo,1920,Other,Wall,1 space,"$330,000", 2, 1, 1,2835-N-Cambridge-Ave-APT-2-Chicago-IL-60657,https://www.zillow.com/homedetails/2835-N-Cambridge-Ave-APT-2-Chicago-IL-60657/49918148_zpid/,$323/mo,,$330,,,,,
385,Condo,1908,Forced air,Central,1 space,"$475,000", 2, 3, 2,1034-W-Armitage-Ave-A-Chicago-IL-60614,https://www.zillow.com/homedetails/1034-W-Armitage-Ave-A-Chicago-IL-60614/3735807_zpid/,$561/month,,No Data, 1,,,,
386,Condo,1962,Forced air,Other,1 space,"$225,000", 0, 1, 1,300-N-State-St-APT-4727-Chicago-IL-60654,https://www.zillow.com/homedetails/300-N-State-St-APT-4727-Chicago-IL-60654/2085023003_zpid/,$412/month,,$450,,,,,
