,Type,Year built,Heating,Cooling,Parking,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,HOA,Lot,Price/sqft,Half bathrooms,Date available,Pets,Laundry,Deposit & fees
206,Condo,2002,"Forced air, Gas",Central,1 space,"$400,000", 3, 2, 2,2554-W-Logan-Blvd-APT-101-Chicago-IL-60647,https://www.zillow.com/homedetails/2554-W-Logan-Blvd-APT-101-Chicago-IL-60647/63693351_zpid/,$271/mo,,$250,,,,,
207,Single Family,1987,Forced air,Central,2 spaces,"$325,000", 5, 3, 2,5308-S-Parkside-Ave-Chicago-IL-60638,https://www.zillow.com/homedetails/5308-S-Parkside-Ave-Chicago-IL-60638/3922221_zpid/,,"4,312 sqft",$220, 1,,,,
208,Single Family,1924,"Forced air, Gas",Central,7 spaces,"$924,500", 5, 5, 4,6449-N-Nordica-Ave-Chicago-IL-60631,https://www.zillow.com/homedetails/6449-N-Nordica-Ave-Chicago-IL-60631/3551829_zpid/,,"7,440 sqft",$208, 1,,,,
209,Condo,2005,Forced air,Central,1 space,"$599,000", 2, 3, 2,330-W-Grand-Ave-APT-2002-Chicago-IL-60654,https://www.zillow.com/homedetails/330-W-Grand-Ave-APT-2002-Chicago-IL-60654/80849900_zpid/,"$1,198/month",,$337, 1,,,,
210,Condo,2011,"Forced air, Gas",Central,1 space,"$549,000", 2, 2, 2,2852-N-Racine-Ave-2-Chicago-IL-60657,https://www.zillow.com/homedetails/2852-N-Racine-Ave-2-Chicago-IL-60657/121067313_zpid/,$153/mo,,,,,,,
211,Townhouse,1983,Gas,Central,1 space,"$95,000", 2, 2, 1,7356-S-Coles-Ave-F-Chicago-IL-60649,https://www.zillow.com/homedetails/7356-S-Coles-Ave-F-Chicago-IL-60649/4025177_zpid/,,0.27 Acres,$86, 1,,,,
212,Single Family,1935,Forced air,Central,2 spaces,"$249,900", 3, 2, 2,3728-W-67th-Pl-Chicago-IL-60629,https://www.zillow.com/homedetails/3728-W-67th-Pl-Chicago-IL-60629/3953929_zpid/,None,"6,011 sqft",$231,,,,,
213,Condo,1910,Forced air,Central,1 space,"$979,900", 2, 2, 2,550-N-Kingsbury-St-APT-606-Chicago-IL-60654,https://www.zillow.com/homedetails/550-N-Kingsbury-St-APT-606-Chicago-IL-60654/3861957_zpid/,$931/month,,$576,,,,,
214,Multiple Occupancy,1895,"Forced air, Gas",Central,2 spaces,"$1,150,000", 6, 5, 5,1951-N-Dayton-St-Chicago-IL-60614,https://www.zillow.com/homedetails/1951-N-Dayton-St-Chicago-IL-60614/2077652629_zpid/,,,,,,,,
215,Multi Family,2020,Forced air,Central,3 spaces,"$899,000", 6, 6, 6,556-E-46th-Pl-Chicago-IL-60653,https://www.zillow.com/homedetails/556-E-46th-Pl-Chicago-IL-60653/2077652872_zpid/,,,No Data,,,,,
216,Condo,2006,Forced air,Central,1 space,"$475,000", 2, 2, 2,100-E-14th-St-APT-2509-Chicago-IL-60605,https://www.zillow.com/homedetails/100-E-14th-St-APT-2509-Chicago-IL-60605/101211757_zpid/,$604/month,,$350,,,,,
217,Single Family,1926,Gas,Central,2 spaces,"$275,000", 4, 2, 2,4918-W-Drummond-Pl-Chicago-IL-60639,https://www.zillow.com/homedetails/4918-W-Drummond-Pl-Chicago-IL-60639/3674268_zpid/,,"3,702 sqft",$234,,,,,
218,Multiple Occupancy,2020,"Forced air, Gas",No Data,2 spaces,"$799,999", 9, 5, 5,1336-N-Hamlin-Ave-Chicago-IL-60651,https://www.zillow.com/homedetails/1336-N-Hamlin-Ave-Chicago-IL-60651/158675574_zpid/,,,,,,,,
