,Type,Year built,Heating,Cooling,Parking,HOA,Price/sqft,Total Price,Bedrooms,Bathrooms,Full bathrooms,Address,URL,Lot,Half bathrooms,City,Lot Temp,sqft
472,Single Family,1923.0,"Forced air, Gas",Central,2 spaces,339900.0,347.0,339900.0,6,3.0,2.0,5712-W-Grover-St-Chicago-IL-60630,https://www.zillow.com/homedetails/5712-W-Grover-St-Chicago-IL-60630/3635590_zpid/,3123.0,1,Chicago,"['3,123', 'sqft']",979.5389048991354
473,Condo,1899.0,Other,Central,,349999.0,370.0,349999.0,2,2.0,2.0,3530-N-Reta-Ave-G-Chicago-IL-60657,https://www.zillow.com/homedetails/3530-N-Reta-Ave-G-Chicago-IL-60657/80843937_zpid/,,0,Chicago,,945.9432432432433
474,Single Family,1956.0,Forced air,Central,2 spaces,250000.0,244.0,250000.0,3,2.0,2.0,7925-S-Albany-Ave-Chicago-IL-60652,https://www.zillow.com/homedetails/7925-S-Albany-Ave-Chicago-IL-60652/3977056_zpid/,3781.0,0,Chicago,"['3,781', 'sqft']",1024.5901639344263
475,Condo,,Forced air,Central,1 space,185000.0,154.0,185000.0,3,2.0,1.0,5124-S-Indiana-Ave-APT-3S-Chicago-IL-60615,https://www.zillow.com/homedetails/5124-S-Indiana-Ave-APT-3S-Chicago-IL-60615/2078966245_zpid/,,1,Chicago,,1201.2987012987012
476,Condo,2003.0,"Forced air, Gas",Central,1 space,229900.0,,229900.0,2,2.0,2.0,Chicago-IL-60707,https://www.zillow.com/homedetails/Chicago-IL-60707/2077673972_zpid/,,0,Chicago,,
477,Single Family,1928.0,,None,2 spaces,449000.0,234.0,449000.0,3,2.0,1.0,7323-W-Lunt-Ave-Chicago-IL-60631,https://www.zillow.com/homedetails/7323-W-Lunt-Ave-Chicago-IL-60631/3511227_zpid/,4720.0,1,Chicago,"['4,720', 'sqft']",1918.8034188034187
478,Condo,1983.0,Forced air,Other,1 space,280000.0,252.0,280000.0,2,2.0,2.0,801-S-Plymouth-Ct-APT-1110-Chicago-IL-60605,https://www.zillow.com/homedetails/801-S-Plymouth-Ct-APT-1110-Chicago-IL-60605/3872916_zpid/,,0,Chicago,,1111.111111111111
479,Condo,1973.0,"Forced air, Electric",Central,1 space,325000.0,271.0,325000.0,2,2.0,2.0,655-W-Irving-Park-Rd-APT-2510-Chicago-IL-60613,https://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-2510-Chicago-IL-60613/65560223_zpid/,,0,Chicago,,1199.261992619926
480,Condo,2006.0,"Forced air, Gas",Central,1 space,465000.0,,465000.0,2,2.0,2.0,2951-N-Halsted-St-APT-2-Chicago-IL-60657,https://www.zillow.com/homedetails/2951-N-Halsted-St-APT-2-Chicago-IL-60657/87714466_zpid/,,0,Chicago,,
481,Condo,1932.0,,None,1 space,750000.0,300.0,750000.0,4,3.0,3.0,2920-N-Commonwealth-Ave-APT-3B-Chicago-IL-60657,https://www.zillow.com/homedetails/2920-N-Commonwealth-Ave-APT-3B-Chicago-IL-60657/3722648_zpid/,,0,Chicago,,2500.0
482,Single Family,1928.0,"Forced air, Gas",Central,2 spaces,453000.0,262.0,453000.0,8,3.0,3.0,3318-N-Kilbourn-Ave-Chicago-IL-60641,https://www.zillow.com/homedetails/3318-N-Kilbourn-Ave-Chicago-IL-60641/3665973_zpid/,4704.0,0,Chicago,"['4,704', 'sqft']",1729.0076335877864
483,Multi Family,1925.0,Forced air,None,2 spaces,429000.0,390.0,429000.0,6,3.0,3.0,5053-W-Deming-Pl-Chicago-IL-60639,https://www.zillow.com/homedetails/5053-W-Deming-Pl-Chicago-IL-60639/2133795989_zpid/,,0,Chicago,,1100.0
484,Multi Family,1915.0,Forced air,None,2 spaces,599900.0,,599900.0,5,3.0,3.0,3711-N-Central-Park-Ave-Chicago-IL-60618,https://www.zillow.com/homedetails/3711-N-Central-Park-Ave-Chicago-IL-60618/2117599353_zpid/,,0,Chicago,,
485,Condo,2003.0,"Forced air, Gas",Central,1 space,538900.0,,538900.0,3,3.0,2.0,1617-W-Barry-Ave-APT-1W-Chicago-IL-60657,https://www.zillow.com/homedetails/1617-W-Barry-Ave-APT-1W-Chicago-IL-60657/65561830_zpid/,,1,Chicago,,
486,Single Family,1921.0,"Other, Gas",Central,2 spaces,399000.0,246.0,399000.0,3,2.0,2.0,9738-S-Damen-Ave-Chicago-IL-60643,https://www.zillow.com/homedetails/9738-S-Damen-Ave-Chicago-IL-60643/4125471_zpid/,4961.0,0,Chicago,"['4,961', 'sqft']",1621.9512195121952
487,Multi Family,1927.0,,None,2 spaces,275000.0,,275000.0,6,4.0,3.0,5738-S-Archer-Ave-S-Chicago-IL-60638,https://www.zillow.com/homedetails/5738-S-Archer-Ave-S-Chicago-IL-60638/2077674705_zpid/,,1,Chicago,,
488,Condo,1920.0,"Forced air, Gas",Central,1 space,315000.0,286.0,315000.0,1,1.0,1.0,1601-W-School-St-APT-213-Chicago-IL-60657,https://www.zillow.com/homedetails/1601-W-School-St-APT-213-Chicago-IL-60657/3710577_zpid/,,0,Chicago,,1101.3986013986014
489,Single Family,1925.0,Baseboard,None,2 spaces,365000.0,177.0,365000.0,2,1.0,1.0,4311-N-Bernard-St-Chicago-IL-60618,https://www.zillow.com/homedetails/4311-N-Bernard-St-Chicago-IL-60618/3645515_zpid/,3123.0,0,Chicago,"['3,123', 'sqft']",2062.146892655367
490,Condo,1998.0,"Forced air, Gas",Central,1 space,349900.0,269.0,349900.0,2,2.0,2.0,1623-W-Grand-Ave-APT-3E-Chicago-IL-60622,https://www.zillow.com/homedetails/1623-W-Grand-Ave-APT-3E-Chicago-IL-60622/54537434_zpid/,,0,Chicago,,1300.7434944237918
491,Condo,1885.0,"Forced air, Gas",Central,1 space,499900.0,454.0,499900.0,2,2.0,2.0,450-W-Armitage-Ave-3-Chicago-IL-60614,https://www.zillow.com/homedetails/450-W-Armitage-Ave-3-Chicago-IL-60614/70462262_zpid/,,0,Chicago,,1101.1013215859032
492,Condo,1958.0,Gas,None,1 space,139500.0,233.0,139500.0,0,1.0,1.0,253-E-Delaware-Pl-APT-19D-Chicago-IL-60611,https://www.zillow.com/homedetails/253-E-Delaware-Pl-APT-19D-Chicago-IL-60611/3851136_zpid/,,0,Chicago,,598.7124463519314
493,Condo,,Forced air,Central,1 space,519000.0,273.0,519000.0,3,3.0,2.0,1807-N-Orleans-St-APT-GS-Chicago-IL-60614,https://www.zillow.com/homedetails/1807-N-Orleans-St-APT-GS-Chicago-IL-60614/2085039956_zpid/,,1,Chicago,,1901.098901098901
494,Condo,1972.0,Electric,None,1 space,130000.0,,130000.0,1,1.0,1.0,2320-N-Nordica-Ave-APT-403-Chicago-IL-60707,https://www.zillow.com/homedetails/2320-N-Nordica-Ave-APT-403-Chicago-IL-60707/3680349_zpid/,,0,Chicago,,
495,Condo,2009.0,Gas,Central,1 space,299000.0,359.0,299000.0,1,1.0,1.0,1800-W-Grace-St-302-Chicago-IL-60613,https://www.zillow.com/homedetails/1800-W-Grace-St-302-Chicago-IL-60613/2137208699_zpid/,,0,Chicago,,832.8690807799443
496,Condo,2009.0,Electric,Central,1 space,289900.0,,289900.0,1,1.0,1.0,565-W-Quincy-St-UNIT-801-Chicago-IL-60661,https://www.zillow.com/homedetails/565-W-Quincy-St-UNIT-801-Chicago-IL-60661/306334092_zpid/,,0,Chicago,,
497,Multiple Occupancy,1906.0,Gas,Central,2 spaces,3000000.0,,3000000.0,4,5.0,2.0,2528-N-California-Ave-Chicago-IL-60647,https://www.zillow.com/homedetails/2528-N-California-Ave-Chicago-IL-60647/2077676629_zpid/,,3,Chicago,,
498,Condo,1949.0,"Forced air, Gas",Central,1 space,700000.0,368.0,700000.0,3,3.0,2.0,130-S-Canal-St-APT-9Q-Chicago-IL-60606,https://www.zillow.com/homedetails/130-S-Canal-St-APT-9Q-Chicago-IL-60606/58368894_zpid/,,1,Chicago,,1902.1739130434783
499,Condo,2002.0,"Forced air, Gas",Central,1 space,277800.0,232.0,277800.0,2,2.0,2.0,3113-W-Lawrence-Ave-APT-A201-Chicago-IL-60625,https://www.zillow.com/homedetails/3113-W-Lawrence-Ave-APT-A201-Chicago-IL-60625/2077676671_zpid/,,0,Chicago,,1197.4137931034484
500,Condo,1968.0,,None,,155000.0,295.0,155000.0,0,1.0,1.0,2626-N-Lakeview-Ave-APT-2110-Chicago-IL-60614,https://www.zillow.com/homedetails/2626-N-Lakeview-Ave-APT-2110-Chicago-IL-60614/3725735_zpid/,,0,Chicago,,525.4237288135594
501,Condo,1903.0,Forced air,Central,1 space,375000.0,268.0,375000.0,2,2.0,2.0,4521-N-Ashland-Ave-APT-3N-Chicago-IL-60640,https://www.zillow.com/homedetails/4521-N-Ashland-Ave-APT-3N-Chicago-IL-60640/61959682_zpid/,,0,Chicago,,1399.2537313432836
